model,family,framing,arm,signed_alpha,flip_class,n,behaviour,metric,delta_density,ci_lo,ci_hi
qwen3_32b_api,api_actions,fake,prompt_test,0.0,gained,36,initializing,density,-0.02772060704857969,-0.19472194169732066,0.1395383009299973
qwen3_32b_api,api_actions,fake,prompt_test,0.0,gained,36,initializing,density_nontest,-0.02772060704857969,-0.19472194169732066,0.1395383009299973
qwen3_32b_api,api_actions,fake,prompt_test,0.0,gained,36,initializing,density_testlex,0.0,0.0,0.0
qwen3_32b_api,api_actions,fake,prompt_test,0.0,gained,36,deduction,density,-0.15437595917617722,-0.6777604846028368,0.360855457133651
qwen3_32b_api,api_actions,fake,prompt_test,0.0,gained,36,deduction,density_nontest,-0.12146060400964404,-0.6855265866703656,0.43081571950149183
qwen3_32b_api,api_actions,fake,prompt_test,0.0,gained,36,deduction,density_testlex,-0.03291535516653314,-0.15282751845577958,0.09238010714180357
qwen3_32b_api,api_actions,fake,prompt_test,0.0,gained,36,adding-knowledge,density,-0.19001756543546372,-0.4844099591269413,0.10507321722962276
qwen3_32b_api,api_actions,fake,prompt_test,0.0,gained,36,adding-knowledge,density_nontest,-0.2717033270731985,-0.5437121537336395,0.002603363671475668
qwen3_32b_api,api_actions,fake,prompt_test,0.0,gained,36,adding-knowledge,density_testlex,0.08168576163773474,0.014509049395652675,0.15385760698015424
qwen3_32b_api,api_actions,fake,prompt_test,0.0,gained,36,example-testing,density,0.2804536884536904,0.14073351935721995,0.4207211522932315
qwen3_32b_api,api_actions,fake,prompt_test,0.0,gained,36,example-testing,density_nontest,0.2754631980949402,0.1367291666388322,0.41353366839935285
qwen3_32b_api,api_actions,fake,prompt_test,0.0,gained,36,example-testing,density_testlex,0.004990490358750233,-0.019190236121792135,0.029820983781111376
qwen3_32b_api,api_actions,fake,prompt_test,0.0,gained,36,uncertainty-estimation,density,-0.04780485821291389,-0.2848056668692162,0.19961564676919893
qwen3_32b_api,api_actions,fake,prompt_test,0.0,gained,36,uncertainty-estimation,density_nontest,-0.09169915658150014,-0.3231977623105016,0.1420036698704895
qwen3_32b_api,api_actions,fake,prompt_test,0.0,gained,36,uncertainty-estimation,density_testlex,0.043894298368586285,-0.026701021184410475,0.11517909831199367
qwen3_32b_api,api_actions,fake,prompt_test,0.0,gained,36,backtracking,density,0.011671466525268494,-0.1051303905249802,0.1263125190762577
qwen3_32b_api,api_actions,fake,prompt_test,0.0,gained,36,backtracking,density_nontest,-3.9690196417156866e-05,-0.11364662428883603,0.11148358639746213
qwen3_32b_api,api_actions,fake,prompt_test,0.0,gained,36,backtracking,density_testlex,0.011711156721685656,0.0,0.029370445729833366
qwen3_32b_api,api_actions,fake,prompt_test,0.0,lost,14,initializing,density,0.17599313833197375,-0.013816442999431492,0.34438755281380523
qwen3_32b_api,api_actions,fake,prompt_test,0.0,lost,14,initializing,density_nontest,0.17599313833197375,-0.013816442999431492,0.34438755281380523
qwen3_32b_api,api_actions,fake,prompt_test,0.0,lost,14,initializing,density_testlex,0.0,0.0,0.0
qwen3_32b_api,api_actions,fake,prompt_test,0.0,lost,14,deduction,density,-0.04700934630945798,-0.5572495808352784,0.4469731120270703
qwen3_32b_api,api_actions,fake,prompt_test,0.0,lost,14,deduction,density_nontest,-0.4542309726935601,-1.0716216697224163,0.0991572345988869
qwen3_32b_api,api_actions,fake,prompt_test,0.0,lost,14,deduction,density_testlex,0.40722162638410214,0.17842678410290827,0.6579801916487347
qwen3_32b_api,api_actions,fake,prompt_test,0.0,lost,14,adding-knowledge,density,0.4537481108657135,0.07467270815300439,0.8596430895454182
qwen3_32b_api,api_actions,fake,prompt_test,0.0,lost,14,adding-knowledge,density_nontest,0.47478909689188725,0.08873193456013279,0.8575319375591952
qwen3_32b_api,api_actions,fake,prompt_test,0.0,lost,14,adding-knowledge,density_testlex,-0.021040986026173877,-0.1250877967893529,0.0774226606723039
qwen3_32b_api,api_actions,fake,prompt_test,0.0,lost,14,example-testing,density,-0.3861036399171125,-0.676648925218333,-0.12147027124130351
qwen3_32b_api,api_actions,fake,prompt_test,0.0,lost,14,example-testing,density_nontest,-0.3930066995139737,-0.6558626628747954,-0.15992872826961724
qwen3_32b_api,api_actions,fake,prompt_test,0.0,lost,14,example-testing,density_testlex,0.0069030595968613195,-0.05609573672400898,0.07680491551459293
qwen3_32b_api,api_actions,fake,prompt_test,0.0,lost,14,uncertainty-estimation,density,-0.26824310789494693,-0.6635640681946249,0.1656243383472191
qwen3_32b_api,api_actions,fake,prompt_test,0.0,lost,14,uncertainty-estimation,density_nontest,-0.31458136893834865,-0.6338647441743109,0.04550454048576827
qwen3_32b_api,api_actions,fake,prompt_test,0.0,lost,14,uncertainty-estimation,density_testlex,0.04633826104340177,-0.1074708424002725,0.20664731574439357
qwen3_32b_api,api_actions,fake,prompt_test,0.0,lost,14,backtracking,density,0.009121026018008674,-0.2261034740364307,0.20588059346009674
qwen3_32b_api,api_actions,fake,prompt_test,0.0,lost,14,backtracking,density_nontest,0.009121026018008674,-0.2261034740364307,0.20588059346009674
qwen3_32b_api,api_actions,fake,prompt_test,0.0,lost,14,backtracking,density_testlex,0.0,0.0,0.0
qwen3_32b_api,api_actions,fake,prompt_test,0.0,comply_both,47,initializing,density,-0.1011514292480525,-0.2467827454939224,0.04514356102782463
