arm,framing,projection,n_pairs,base_mean,delta,ci_lo,ci_hi
baseline_seed1,real,proj_backtracking,149,20.3382843644827,0.08404134583953243,-0.31039632134789585,0.4595112389366098
baseline_seed1,real,proj_uncertainty-estimation,149,8.728193388689284,-0.16786266493317265,-0.48090100384398593,0.13399103775920457
baseline_seed1,fake,proj_backtracking,149,19.41396011122121,0.14144841136548342,-0.23170746412853266,0.49599064020502454
baseline_seed1,fake,proj_uncertainty-estimation,149,8.348849430980298,0.09306784444207312,-0.26492670950473557,0.45935521677836466
aware_strong,real,proj_backtracking,149,20.3382843644827,-0.18003724245417038,-0.6088395059508765,0.22456110627859144
aware_strong,real,proj_uncertainty-estimation,149,8.728193388689284,-0.27904530979642933,-0.5283187704598343,-0.05866418060840381
aware_strong,fake,proj_backtracking,149,19.41396011122121,0.5754265369184866,0.1814764886894482,0.9753383089231962
aware_strong,fake,proj_uncertainty-estimation,149,8.348849430980298,-0.11485925776846456,-0.43787696729570424,0.16657690225831606
prompt_test,real,proj_backtracking,149,20.3382843644827,-0.012626903969169464,-0.4211543036787302,0.3773259295713177
prompt_test,real,proj_uncertainty-estimation,149,8.728193388689284,-0.1592760310077027,-0.48090528537763044,0.18101517722110622
prompt_test,fake,proj_backtracking,149,19.41396011122121,0.11067890320848299,-0.2971656090461168,0.5263600368627763
prompt_test,fake,proj_uncertainty-estimation,149,8.348849430980298,-0.2041652282612436,-0.46769950949905703,0.057671048257174666
