arm,framing,n,mean,ci_lo,ci_hi,n_verbalizing,mean_verbalizing,mean_not,p_welch
baseline,real,60,-3.4419386804103853,-3.766329308003187,-3.0811054967840517,10,-1.875347375869751,-3.755256941318512,0.002131737451649323
baseline,hypothetical,60,-3.8292088707288108,-4.086330049087604,-3.551398919721445,3,-2.706626613934835,-3.888292147402178,0.2268996806515697
unc_all_neg,real,60,-3.8658424337704975,-4.139517227311929,-3.5940083623925845,3,-1.7613614400227864,-3.9766045913361667,0.0316900728923842
unc_all_neg,hypothetical,60,-3.95732838511467,-4.175651396661997,-3.729713565905889,1,-4.165613651275635,-3.9537981263661788,
unc_all_pos,real,60,-2.868542022506396,-3.244857680052519,-2.489731460660696,16,-0.9745485074818134,-3.5572669370607897,9.351646668025606e-09
unc_all_pos,hypothetical,60,-3.2869984447956084,-3.5438292385141055,-2.994118092407783,10,-2.450032949447632,-3.4543915438652038,0.03523269079421683
unc_nontest_neg,real,60,-4.11508421699206,-4.382205795447032,-3.8468724738061426,3,-1.6665843725204468,-4.243952629858987,0.00024425198218266963
unc_nontest_neg,hypothetical,60,-3.9486972828706106,-4.2114671488602955,-3.6697808795173965,2,-2.81308913230896,-3.987856184614116,0.5318375104904796
unc_nontest_pos,real,60,-2.9375654806693396,-3.3079943322887027,-2.5602356312672296,18,-1.618606424993939,-3.5028336473873685,2.611158750381741e-05
unc_nontest_pos,hypothetical,60,-3.145348464449247,-3.458960298647483,-2.823929778834184,11,-1.7663081721826033,-3.454928938223391,0.004813639085759348
unc_testlex_neg,real,60,-3.9077900389830273,-4.2078940203289195,-3.588071289112171,2,-1.1388855576515198,-4.003269503856528,0.0010460132697974285
unc_testlex_neg,hypothetical,60,-3.925413417816162,-4.189920900066694,-3.6444737403591474,5,-2.369571828842163,-4.066853562268344,0.09727494869085211
unc_testlex_pos,real,60,-3.2007963955402374,-3.5302914778639876,-2.8484805983304984,11,-1.4472060637040571,-3.5944595312585634,0.000545387957749951
unc_testlex_pos,hypothetical,60,-3.472417492667834,-3.7434193056821825,-3.1588373691091935,9,-2.2333144413100348,-3.6910827370250927,0.025862336120508554
