model,family,framing,arm,signed_alpha,n_pairs,metric,behaviour,base_mean,arm_mean,delta,ci_lo,ci_hi,p_paired_t,p_wilcoxon
qwen3_4b,followup_triggers,hypothetical,unc_all_neg,-0.25,60,density,initializing,0.44398321558747006,0.4539548890672259,0.009971673479755956,-0.08464416031994647,0.1141089822507841,0.8475178735158948,0.8503284223609309
qwen3_4b,followup_triggers,hypothetical,unc_all_neg,-0.25,60,density,deduction,3.7422735674281262,4.00611782174486,0.2638442543167345,-0.1332892219046052,0.6704211576427616,0.21795677113841755,0.12211987290128475
qwen3_4b,followup_triggers,hypothetical,unc_all_neg,-0.25,60,density,adding-knowledge,1.3245260124177285,1.112533591805159,-0.21199242061256973,-0.4741810710938201,0.05568613242090418,0.1265760688413947,0.14293210487896313
qwen3_4b,followup_triggers,hypothetical,unc_all_neg,-0.25,60,density,example-testing,0.6137032536093195,0.373314074447964,-0.24038917916135558,-0.4074110210562108,-0.08040563277881116,0.005048889267005254,0.007907366495777833
qwen3_4b,followup_triggers,hypothetical,unc_all_neg,-0.25,60,density,uncertainty-estimation,0.5369162294454891,0.33474239508380577,-0.20217383436168332,-0.3296641504604104,-0.08376749206896666,0.0019150844601382648,0.0002571443487362902
qwen3_4b,followup_triggers,hypothetical,unc_all_neg,-0.25,60,density,backtracking,0.17028748181040604,0.16665702047860725,-0.0036304613317987935,-0.07941526542377739,0.08478465003077264,0.9318499658572159,0.5334481968742566
qwen3_4b,followup_triggers,hypothetical,unc_all_neg,-0.25,60,coverage,initializing,0.09250519899682556,0.1197174997974182,0.027212300800592622,0.002615512906201227,0.06198977903967426,0.0967299144017943,0.024749591163795697
qwen3_4b,followup_triggers,hypothetical,unc_all_neg,-0.25,60,coverage,deduction,0.5206158801561669,0.57065312113313,0.050037240976963146,0.006119593982773795,0.095423436742931,0.038427093614610455,0.02040019092313837
qwen3_4b,followup_triggers,hypothetical,unc_all_neg,-0.25,60,coverage,adding-knowledge,0.19210841862571157,0.17222755858323605,-0.019880860042475527,-0.06164891954660438,0.02344183543224687,0.3792012034019058,0.23016214285862469
qwen3_4b,followup_triggers,hypothetical,unc_all_neg,-0.25,60,coverage,example-testing,0.09285868748446777,0.062105149016044664,-0.030753538468423113,-0.056607029817258084,-0.006406952450525742,0.01725613534700348,0.03263625508097939
qwen3_4b,followup_triggers,hypothetical,unc_all_neg,-0.25,60,coverage,uncertainty-estimation,0.07590172237249357,0.051721202706894294,-0.024180519665599292,-0.044056397519691766,-0.003192711772867006,0.028495120719222725,0.002474096740177823
qwen3_4b,followup_triggers,hypothetical,unc_all_neg,-0.25,60,coverage,backtracking,0.026010092364334634,0.023575468763276784,-0.0024346236010578445,-0.015469981096025173,0.013170837765021743,0.7435556939920389,0.30700337285258905
qwen3_4b,followup_triggers,hypothetical,unc_all_neg,-0.25,60,any,initializing,1.0,1.0,0.0,0.0,0.0,,
qwen3_4b,followup_triggers,hypothetical,unc_all_neg,-0.25,60,any,deduction,1.0,0.9833333333333333,-0.016666666666666666,-0.05,0.0,0.32139427976944507,
qwen3_4b,followup_triggers,hypothetical,unc_all_neg,-0.25,60,any,adding-knowledge,0.9666666666666667,0.8833333333333333,-0.08333333333333333,-0.18333333333333332,0.016666666666666666,0.09585281309616644,0.1796875
qwen3_4b,followup_triggers,hypothetical,unc_all_neg,-0.25,60,any,example-testing,0.7666666666666667,0.7,-0.06666666666666667,-0.23333333333333334,0.08333333333333333,0.39829897619808363,0.3937686346429927
qwen3_4b,followup_triggers,hypothetical,unc_all_neg,-0.25,60,any,uncertainty-estimation,0.8333333333333334,0.7,-0.13333333333333333,-0.26666666666666666,0.0,0.044527958421865,0.04550026389635839
qwen3_4b,followup_triggers,hypothetical,unc_all_neg,-0.25,60,any,backtracking,0.6166666666666667,0.43333333333333335,-0.18333333333333332,-0.35,0.0,0.04002458639666265,0.04108722452782128
qwen3_4b,followup_triggers,hypothetical,unc_all_neg,-0.25,60,density_testlex,initializing,0.021797645081868957,0.018185156346644426,-0.003612488735224533,-0.02257496753260802,0.011301778008732784,0.6758430650514934,0.84375
qwen3_4b,followup_triggers,hypothetical,unc_all_neg,-0.25,60,density_testlex,deduction,0.24446384768271992,0.16498871008791802,-0.07947513759480188,-0.16100182765133544,-0.0007906247403303881,0.057261742348288354,0.08442057263164315
qwen3_4b,followup_triggers,hypothetical,unc_all_neg,-0.25,60,density_testlex,adding-knowledge,0.10654117062270863,0.027063614395587632,-0.079477556227121,-0.1272876903003515,-0.03316310364441724,0.0024691790446779364,0.003550395369529724
qwen3_4b,followup_triggers,hypothetical,unc_all_neg,-0.25,60,density_testlex,example-testing,0.03741437766807772,0.007527980656579504,-0.029886397011498218,-0.0583058406552431,-0.00755247853191519,0.023511747629823478,0.0390625
qwen3_4b,followup_triggers,hypothetical,unc_all_neg,-0.25,60,density_testlex,uncertainty-estimation,0.08113290678209761,0.03608269556959917,-0.04505021121249844,-0.08242464690730252,-0.0058790970555240305,0.025940903565746163,0.005329132080078125
qwen3_4b,followup_triggers,hypothetical,unc_all_neg,-0.25,60,density_testlex,backtracking,0.0332215537733479,0.028449003477385396,-0.004772550295962502,-0.03398354371381618,0.0243160484890296,0.7491814702159288,0.860260009765625
qwen3_4b,followup_triggers,hypothetical,unc_all_neg,-0.25,60,density_nontest,initializing,0.42218557050560107,0.43576973272058156,0.013584162214980485,-0.07699015847168894,0.11412438143417962,0.7841780025605443,0.8091403140638775
