arm,framing,n,mean,ci_lo,ci_hi,n_verbalizing,mean_verbalizing,mean_not,p_welch
baseline,real,149,-2.400574681342848,-2.5992251103656403,-2.1838452261066275,28,-1.1496338652712959,-2.6900485891941166,3.97285194344323e-07
baseline,fake,149,-2.7419322605101053,-2.942351049814848,-2.5153591666545645,13,-1.2037632969709544,-2.8878345365877505,1.727832251284975e-05
baseline_seed1,real,149,-2.357101726852007,-2.5584815818591404,-2.1619944971979863,22,-1.4929930080067029,-2.5067898513763907,0.0003824968931100858
baseline_seed1,fake,149,-2.761528438769731,-2.9646313407777143,-2.5510884012651927,9,-0.5367002685864767,-2.90455310685294,0.0010088830793148172
bt_neg,real,149,-3.2950354598512583,-3.45028069627365,-3.1294870199773137,2,-2.5389800667762756,-3.3053219277842514,0.3946836329977718
bt_neg,fake,0,,,,0,,,
bt_pos,real,149,-1.0117878433841987,-1.2417405650119653,-0.7846921244923701,65,-0.40322589507469764,-1.4826988748141698,1.3854673006315174e-06
bt_pos,fake,0,,,,0,,,
random_bt,real,149,-2.5135188514754274,-2.7111845565322263,-2.324499173772415,27,-1.4334959520234003,-2.7590504894571857,3.1802193152440683e-07
random_bt,fake,0,,,,0,,,
random_unc,real,149,-2.4017856065058867,-2.593358115121822,-2.210217374623222,30,-1.5061809102694192,-2.6267179362794275,1.7336953530367357e-05
random_unc,fake,0,,,,0,,,
shuffled_bt,real,149,-1.33895857142122,-1.5634166497912183,-1.1296568252496277,44,-0.728739860382947,-1.5946692693801152,6.455831703361728e-05
shuffled_bt,fake,0,,,,0,,,
shuffled_unc,real,149,-2.307403585254746,-2.523674701374249,-2.092356898340603,41,-1.6318955843041583,-2.563846437467469,0.00010434472667031487
shuffled_unc,fake,0,,,,0,,,
unc_neg,real,149,-2.9952244334572913,-3.183326317319934,-2.8039202334196776,1,-2.1405625343322754,-3.0000602736765023,
unc_neg,fake,0,,,,0,,,
unc_pos,real,149,-1.8522586914516936,-2.0876766694572146,-1.6208405636400984,55,-1.0191325122659856,-2.3397261367199267,1.0287503036517828e-08
unc_pos,fake,0,,,,0,,,
