model,family,framing,arm,signed_alpha,n_pairs,metric,behaviour,base_mean,arm_mean,delta,ci_lo,ci_hi,p_paired_t,p_wilcoxon
qwen3_4b,steer_actions,fake,baseline_seed1,0.0,149,density,initializing,0.6555156727806019,0.6981156399725649,0.04259996719196304,-0.05813177336509114,0.15224390963021478,0.4362390150563615,0.3733928739853499
qwen3_4b,steer_actions,fake,baseline_seed1,0.0,149,density,deduction,3.8434546154919462,4.111430661144452,0.2679760456525074,0.030215678662436296,0.5106191748387368,0.02848857975652198,0.033399690831779884
qwen3_4b,steer_actions,fake,baseline_seed1,0.0,149,density,adding-knowledge,1.7057856412103216,1.6502635210253909,-0.055522120184930863,-0.23360223166403554,0.11877158954612291,0.5297559827355484,0.6989911045055317
qwen3_4b,steer_actions,fake,baseline_seed1,0.0,149,density,example-testing,0.31224159286841713,0.2862640238618894,-0.025977569006527677,-0.12100683468477864,0.0676353836494554,0.6057711850333538,0.5595997923728147
qwen3_4b,steer_actions,fake,baseline_seed1,0.0,149,density,uncertainty-estimation,0.6064632283561479,0.6188092260029103,0.012345997646762447,-0.10093823087824538,0.13354798066909873,0.8335521792272781,0.8095221945326928
qwen3_4b,steer_actions,fake,baseline_seed1,0.0,149,density,backtracking,0.27885655324822356,0.26912054982059597,-0.009736003427627603,-0.07463878012918444,0.051216663184602974,0.7625815955774224,0.4928918375241349
qwen3_4b,steer_actions,fake,baseline_seed1,0.0,149,coverage,initializing,0.11856491824365388,0.11733955127787783,-0.001225366965776045,-0.013104674796061278,0.012142187448898042,0.8561555777205593,0.8722519033647032
qwen3_4b,steer_actions,fake,baseline_seed1,0.0,149,coverage,deduction,0.47543687958404696,0.4946888150911627,0.019251935507115844,-0.00531631952790612,0.045056649612187964,0.14017144647576102,0.1416573540045181
qwen3_4b,steer_actions,fake,baseline_seed1,0.0,149,coverage,adding-knowledge,0.23276136044242732,0.22359419158676705,-0.00916716885566031,-0.032542827011036994,0.013881319632693852,0.4410940090952183,0.8227808811337464
qwen3_4b,steer_actions,fake,baseline_seed1,0.0,149,coverage,example-testing,0.048402524728624455,0.0393896547411528,-0.009012869987471648,-0.02164758130268665,0.003850243711671459,0.18652488512770127,0.25231710047620093
qwen3_4b,steer_actions,fake,baseline_seed1,0.0,149,coverage,uncertainty-estimation,0.07994356445142115,0.08076927752291374,0.0008257130714925916,-0.015398746798976399,0.017083215579329965,0.9195782647658348,0.5947276615871422
qwen3_4b,steer_actions,fake,baseline_seed1,0.0,149,coverage,backtracking,0.04489075254982626,0.044218509780125835,-0.0006722427697004257,-0.011581027564552681,0.010080125584279797,0.905744151171676,0.515133505454844
qwen3_4b,steer_actions,fake,baseline_seed1,0.0,149,any,initializing,1.0,1.0,0.0,0.0,0.0,,
qwen3_4b,steer_actions,fake,baseline_seed1,0.0,149,any,deduction,1.0,1.0,0.0,0.0,0.0,,
qwen3_4b,steer_actions,fake,baseline_seed1,0.0,149,any,adding-knowledge,0.9798657718120806,0.9865771812080537,0.006711409395973154,-0.013422818791946308,0.03355704697986577,0.5654534272810476,
qwen3_4b,steer_actions,fake,baseline_seed1,0.0,149,any,example-testing,0.436241610738255,0.40939597315436244,-0.026845637583892617,-0.12080536912751678,0.06711409395973154,0.5879180922519671,0.58621368107314
qwen3_4b,steer_actions,fake,baseline_seed1,0.0,149,any,uncertainty-estimation,0.6711409395973155,0.6778523489932886,0.006711409395973154,-0.087248322147651,0.10067114093959731,0.8891922503090613,0.8886378608950078
qwen3_4b,steer_actions,fake,baseline_seed1,0.0,149,any,backtracking,0.5637583892617449,0.5167785234899329,-0.04697986577181208,-0.14093959731543623,0.04697986577181208,0.3286527890721246,0.32698934959801507
qwen3_4b,steer_actions,fake,baseline_seed1,0.0,149,density_testlex,initializing,0.004428353302235407,0.0068241141214015425,0.0023957608191661358,-0.001996998226423644,0.007795870873168023,0.32382963956644545,
qwen3_4b,steer_actions,fake,baseline_seed1,0.0,149,density_testlex,deduction,0.1314254104559466,0.11498948500935781,-0.016435925446588822,-0.0632284383545467,0.027224794607334568,0.48952501915000773,0.5677813567104609
qwen3_4b,steer_actions,fake,baseline_seed1,0.0,149,density_testlex,adding-knowledge,0.015523357859370266,0.008521064918702663,-0.007002292940667601,-0.02213212821240587,0.007960005057059672,0.38881036078402237,0.4609375
qwen3_4b,steer_actions,fake,baseline_seed1,0.0,149,density_testlex,example-testing,0.0035794183445190158,0.0,-0.0035794183445190158,-0.010738255033557048,0.0,0.31894268036747386,
