model,family,framing,arm,signed_alpha,n_pairs,base_rate,arm_rate,both_exec,lost,gained,neither,net_gain,churn,p_mcnemar
qwen3_4b,steer_actions,fake,baseline_seed1,0.0,141,0.8794326241134752,0.8865248226950354,119,5,6,11,1,11,1.0
qwen3_4b,steer_actions,real,baseline_seed1,0.0,141,0.723404255319149,0.7446808510638298,99,3,6,33,3,9,0.5078125
qwen3_4b,steer_actions,real,bt_neg,-0.25,146,0.726027397260274,0.7054794520547946,92,14,11,29,-3,25,0.6900379657745361
qwen3_4b,steer_actions,real,bt_pos,0.25,94,0.6808510638297872,0.6595744680851063,59,5,3,27,-2,8,0.7265625
qwen3_4b,steer_actions,real,random_bt,0.25,144,0.7222222222222222,0.7777777777777778,97,7,15,25,8,22,0.13380050659179688
qwen3_4b,steer_actions,real,random_unc,0.25,144,0.7222222222222222,0.7986111111111112,101,3,14,26,11,17,0.012725830078125
qwen3_4b,steer_actions,real,shuffled_bt,0.25,109,0.6788990825688074,0.6788990825688074,70,4,4,31,0,8,1.0
qwen3_4b,steer_actions,real,shuffled_unc,0.25,126,0.7301587301587301,0.7380952380952381,84,8,9,25,1,17,1.0
qwen3_4b,steer_actions,real,unc_neg,-0.25,143,0.7272727272727273,0.7832167832167832,96,8,16,23,8,24,0.15158963203430176
qwen3_4b,steer_actions,real,unc_pos,0.25,136,0.7058823529411765,0.6838235294117647,86,10,7,33,-3,17,0.629058837890625
