layer,n_train,n_test,acc,auroc,sk_acc,sk_auroc
0,343,171,0.47953216374269003,0.9842422581529185,0.9181286549707602,0.9905453548917512
1,343,171,0.9473684210526315,0.9830090435735819,0.9532163742690059,0.9939709509454645
2,343,171,0.9415204678362573,0.9842422581529185,0.9473684210526315,0.9917785694710879
3,343,171,0.935672514619883,0.985886544258701,0.9473684210526315,0.9912304741024938
4,343,171,0.9239766081871345,0.9857495204165524,0.9473684210526315,0.9901342833653055
5,343,171,0.9473684210526315,0.9872567826801864,0.9473684210526315,0.9910934502603452
6,343,171,0.9532163742690059,0.9868457111537408,0.935672514619883,0.9895861879967115
7,343,171,0.9532163742690059,0.9898602356810084,0.9532163742690059,0.9915045217867908
8,343,171,0.9473684210526315,0.987941901890929,0.9415204678362573,0.9906823787338996
9,343,171,0.9473684210526315,0.9891751164702658,0.9473684210526315,0.9915045217867908
10,343,171,0.9532163742690059,0.9904083310496026,0.9473684210526315,0.9928747602082763
11,343,171,0.9532163742690059,0.9928747602082763,0.9532163742690059,0.9939709509454646
12,343,171,0.9532163742690059,0.9942449986297616,0.9415204678362573,0.9945190463140586
13,343,171,0.9532163742690059,0.9942449986297616,0.9473684210526315,0.9950671416826528
14,343,171,0.9532163742690059,0.9942449986297616,0.9532163742690059,0.9960263085776926
15,343,171,0.9590643274853801,0.9945190463140586,0.9532163742690059,0.9957522608933955
16,343,171,0.9590643274853801,0.9939709509454645,0.9532163742690059,0.9957522608933955
17,343,171,0.9590643274853801,0.9963003562619897,0.9532163742690059,0.9968484516305837
18,343,171,0.9590643274853801,0.9968484516305838,0.9590643274853801,0.9969854754727322
19,343,171,0.9590643274853801,0.9969854754727323,0.9649122807017544,0.9969854754727323
20,343,171,0.9766081871345029,0.9972595231570294,0.9707602339181286,0.9976705946834749
21,343,171,0.9707602339181286,0.9972595231570293,0.9649122807017544,0.9978076185256234
22,343,171,0.9707602339181286,0.9967114277884352,0.9707602339181286,0.9973965469991779
23,343,171,0.9532163742690059,0.9963003562619897,0.9707602339181286,0.9969854754727323
24,343,171,0.9473684210526315,0.9954782132090984,0.9649122807017544,0.9967114277884352
25,343,171,0.9415204678362573,0.9939709509454645,0.9649122807017544,0.9953411893669499
26,343,171,0.9473684210526315,0.993559879419019,0.9590643274853801,0.9956152370512469
27,343,171,0.9473684210526315,0.993559879419019,0.9590643274853801,0.9954782132090984
28,343,171,0.9415204678362573,0.9936969032611676,0.9532163742690059,0.9952041655248014
29,343,171,0.9473684210526315,0.9936969032611674,0.9532163742690059,0.9945190463140586
30,343,171,0.9590643274853801,0.9939709509454645,0.9532163742690059,0.9949301178405043
31,343,171,0.9473684210526315,0.9932858317347218,0.9532163742690059,0.9946560701562073
32,343,171,0.9473684210526315,0.9928747602082761,0.9532163742690059,0.9936969032611674
33,343,171,0.9473684210526315,0.9930117840504248,0.9473684210526315,0.9947930939983557
34,343,171,0.9415204678362573,0.9924636886818307,0.9415204678362573,0.9945190463140586
35,343,171,0.9415204678362573,0.9920526171553851,0.9532163742690059,0.9946560701562073
36,343,171,0.9473684210526315,0.9930117840504249,0.9473684210526315,0.9949301178405043
