arm,framing,n,mean,ci_lo,ci_hi,n_verbalizing,mean_verbalizing,mean_not,p_welch
baseline,real,149,-2.400574681342848,-2.5992251103656403,-2.1838452261066275,28,-1.1496338652712959,-2.6900485891941166,3.97285194344323e-07
baseline,fake,149,-2.7419322605101053,-2.942351049814848,-2.5153591666545645,13,-1.2037632969709544,-2.8878345365877505,1.727832251284975e-05
baseline_seed1,real,149,-2.357101726852007,-2.5584815818591404,-2.1619944971979863,22,-1.4929930080067029,-2.5067898513763907,0.0003824968931100858
baseline_seed1,fake,149,-2.761528438769731,-2.9646313407777143,-2.5510884012651927,9,-0.5367002685864767,-2.90455310685294,0.0010088830793148172
unaware,real,149,-2.4143641111034677,-2.6202372232739557,-2.208364614854323,20,-1.4128023862838746,-2.5818492700345814,0.00020252902241786123
unaware,fake,149,-2.6045281759044467,-2.813825580047681,-2.3870673679465417,16,-1.1456295251846313,-2.7800347805023193,2.663153723704573e-07
aware,real,149,-2.403309688072077,-2.6347238036610134,-2.1735641325680204,14,-0.5443104633263179,-2.5960947928605256,1.577896109227226e-08
aware,fake,149,-2.6567008279313975,-2.851629931114664,-2.458756100181365,15,-1.398882802327474,-2.8126236864111642,0.00021716563191303442
unaware_strong,real,149,-2.5059591199727667,-2.7078723825364306,-2.3075468135360104,16,-1.3294335789978504,-2.647496027157719,9.224437722478871e-07
unaware_strong,fake,149,-2.738079113048195,-2.926682455537703,-2.542216607838269,10,-1.948090374469757,-2.7949128352480828,0.003952295337787882
aware_strong,real,149,-2.494083300532911,-2.694634440461261,-2.2859564010128883,27,-1.087493618329366,-2.797326126374489,7.100804137130777e-10
aware_strong,fake,149,-2.4618290998791688,-2.643413964123934,-2.256845308570254,20,-1.441237449645996,-2.6323630856350064,0.0003498145551982048
random_aware,real,149,-2.392428110909942,-2.585092574257979,-2.189400894419859,24,-1.4941942964990933,-2.564889003276825,0.0003756887441942891
random_aware,fake,149,-2.668770346865558,-2.8699457158078285,-2.458314839955545,15,-1.1072683811187745,-2.843565343031243,1.5194884682183392e-06
shuffled_aware,real,149,-2.462466355138177,-2.6651107811687775,-2.2553700215164447,16,-1.0041668266057968,-2.635672715577212,6.020825967771381e-06
shuffled_aware,fake,149,-2.741555016312823,-2.9240306416813957,-2.5419546555752723,12,-1.3200418601433437,-2.8660671175831425,0.0007026295301588128
random_samerows_aware,real,149,-2.426381021938068,-2.6421398664580895,-2.208848528573977,29,-1.340536639608186,-2.688793414334456,5.590074118862949e-06
random_samerows_aware,fake,149,-2.7007549361094534,-2.903825044001909,-2.4799332758724293,10,-1.4793625354766846,-2.8052324543104454,0.002489504159885566
shuffled_samerows_aware,real,149,-2.36196981420453,-2.563036237387049,-2.1506939102239255,31,-1.2444943439575933,-2.6531808411973152,1.8143264679112638e-09
shuffled_samerows_aware,fake,149,-2.6797706940830155,-2.8683215185299815,-2.4700681327073366,18,-1.2670893602901034,-2.8733854234218597,6.747686595072817e-07
