model,family,framing,arm,signed_alpha,n_pairs,metric,behaviour,base_mean,arm_mean,delta,ci_lo,ci_hi,p_paired_t,p_wilcoxon
qwen3_4b,steer_actions,fake,aware,0.05,149,density,initializing,0.6555156727806019,0.6078584893135098,-0.0476571834670921,-0.14035067289509234,0.046261124587148456,0.3283731184596023,0.3575365932761235
qwen3_4b,steer_actions,fake,aware,0.05,149,density,deduction,3.8434546154919462,3.9872295221162117,0.14377490662426617,-0.10788324795625753,0.3800150999162483,0.2545475915933528,0.4802358132197021
qwen3_4b,steer_actions,fake,aware,0.05,149,density,adding-knowledge,1.7057856412103216,1.6013081584336593,-0.10447748277666233,-0.2894595107268686,0.08703995663512676,0.2995312619401926,0.19631113168530379
qwen3_4b,steer_actions,fake,aware,0.05,149,density,example-testing,0.31224159286841713,0.2689121793093387,-0.04332941355907843,-0.1230439556564006,0.0383296295602136,0.28774899211615146,0.45939606665674604
qwen3_4b,steer_actions,fake,aware,0.05,149,density,uncertainty-estimation,0.6064632283561479,0.6158776288006426,0.009414400444494798,-0.12569008810518884,0.14826779229359288,0.8952772818806811,0.7499749309109154
qwen3_4b,steer_actions,fake,aware,0.05,149,density,backtracking,0.27885655324822356,0.3387738720305554,0.059917318782331815,-0.01539064426748365,0.13521176359272044,0.1303929479946128,0.41862822909336195
qwen3_4b,steer_actions,fake,aware,0.05,149,coverage,initializing,0.11856491824365388,0.10735219993925589,-0.011212718304397984,-0.02324054288610036,0.0008762558706583313,0.07649912097989878,0.21345147795407038
qwen3_4b,steer_actions,fake,aware,0.05,149,coverage,deduction,0.47543687958404696,0.4940218815455547,0.018585001961507763,-0.009167913812543846,0.04627054602896757,0.2031438920653527,0.20655984734941313
qwen3_4b,steer_actions,fake,aware,0.05,149,coverage,adding-knowledge,0.23276136044242732,0.22576199251127715,-0.00699936793115013,-0.03271906706920711,0.019184167691546107,0.5922333672937262,0.5376336944637383
qwen3_4b,steer_actions,fake,aware,0.05,149,coverage,example-testing,0.048402524728624455,0.03643485808093605,-0.011967666647688396,-0.02472891755665765,0.0008976269457549074,0.06341722245849751,0.16746736497727266
qwen3_4b,steer_actions,fake,aware,0.05,149,coverage,uncertainty-estimation,0.07994356445142115,0.08310297591086066,0.0031594114594395125,-0.01670040030903324,0.022902669219832594,0.7564172504217574,0.8491116735370731
qwen3_4b,steer_actions,fake,aware,0.05,149,coverage,backtracking,0.04489075254982626,0.053326092012115515,0.008435339462289249,-0.004965761692619736,0.02177293308474858,0.23343628268655947,0.6732891679685808
qwen3_4b,steer_actions,fake,aware,0.05,149,any,initializing,1.0,1.0,0.0,0.0,0.0,,
qwen3_4b,steer_actions,fake,aware,0.05,149,any,deduction,1.0,1.0,0.0,0.0,0.0,,
qwen3_4b,steer_actions,fake,aware,0.05,149,any,adding-knowledge,0.9798657718120806,0.9731543624161074,-0.006711409395973154,-0.040268456375838924,0.020134228187919462,0.6562419878969388,1.0
qwen3_4b,steer_actions,fake,aware,0.05,149,any,example-testing,0.436241610738255,0.436241610738255,0.0,-0.10067114093959731,0.10067114093959731,1.0,1.0
qwen3_4b,steer_actions,fake,aware,0.05,149,any,uncertainty-estimation,0.6711409395973155,0.6912751677852349,0.020134228187919462,-0.08053691275167785,0.11409395973154363,0.6817176713910635,0.6802795473344503
qwen3_4b,steer_actions,fake,aware,0.05,149,any,backtracking,0.5637583892617449,0.5771812080536913,0.013422818791946308,-0.09395973154362416,0.11409395973154363,0.8092945186357839,0.8083651559145103
qwen3_4b,steer_actions,fake,aware,0.05,149,density_testlex,initializing,0.004428353302235407,0.007181046818506436,0.0027526935162710295,-1.1786878618841574e-05,0.007664956751090106,0.21881413594841898,
qwen3_4b,steer_actions,fake,aware,0.05,149,density_testlex,deduction,0.1314254104559466,0.14536113223341315,0.013935721777466568,-0.03208719726372375,0.055462681281616216,0.5317399365737607,0.26084264156930415
qwen3_4b,steer_actions,fake,aware,0.05,149,density_testlex,adding-knowledge,0.015523357859370266,0.015280810117655504,-0.00024254774171476133,-0.01823586706221428,0.020785194638346178,0.9804296542433756,1.0
qwen3_4b,steer_actions,fake,aware,0.05,149,density_testlex,example-testing,0.0035794183445190158,0.004112544546035579,0.0005331262015165634,-0.004136868742435912,0.0057362473469856025,0.8219607020726388,
qwen3_4b,steer_actions,fake,aware,0.05,149,density_testlex,uncertainty-estimation,0.061559992636428106,0.07305352752639732,0.011493534889969225,-0.02123144780551232,0.044595683747544794,0.4977350389715292,0.49630124474189474
qwen3_4b,steer_actions,fake,aware,0.05,149,density_testlex,backtracking,0.004066969719375313,0.002787637022322369,-0.0012793326970529447,-0.00506893957143802,0.0017615247758459723,0.4698028554054254,
qwen3_4b,steer_actions,fake,aware,0.05,149,density_nontest,initializing,0.6510873194783665,0.6006774424950034,-0.050409876983363126,-0.143315158599253,0.043709443631721794,0.3011403191008078,0.3164916560039511
qwen3_4b,steer_actions,fake,aware,0.05,149,density_nontest,deduction,3.7120292050359995,3.8418683898827988,0.12983918484679965,-0.12008468756596459,0.3592285621286865,0.2924714138840882,0.5373311515397878
qwen3_4b,steer_actions,fake,aware,0.05,149,density_nontest,adding-knowledge,1.6902622833509513,1.586027348316004,-0.10423493503494756,-0.29409030690645754,0.08757347934126447,0.2995250295699684,0.22930071298904964
qwen3_4b,steer_actions,fake,aware,0.05,149,density_nontest,example-testing,0.3086621745238981,0.2647996347633031,-0.04386253976059499,-0.1230486383326881,0.038895222472922514,0.2840929294050915,0.4546836751351412
qwen3_4b,steer_actions,fake,aware,0.05,149,density_nontest,uncertainty-estimation,0.5449032357197199,0.5428241012742453,-0.0020791344454744376,-0.1352189301867311,0.139408183832848,0.9761820465505843,0.39621151160683754
qwen3_4b,steer_actions,fake,aware,0.05,149,density_nontest,backtracking,0.27478958352884825,0.335986235008233,0.061196651479384766,-0.01266373294052655,0.13610399534460615,0.12023294062527017,0.4058901994298082
qwen3_4b,steer_actions,fake,aware,0.05,149,words,,345.2281879194631,365.93288590604027,20.70469798657718,-29.283389261744965,70.74261744966437,0.4162278010031163,0.6485516091751327
qwen3_4b,steer_actions,fake,aware,0.05,149,n_spans_counted,,24.06040268456376,25.644295302013422,1.5838926174496644,-1.7786912751677852,4.886744966442948,0.3506454966408917,0.6378624155854156
qwen3_4b,steer_actions,fake,aware_strong,0.2,149,density,initializing,0.6555156727806019,0.5424595790317612,-0.11305609374884061,-0.20490522549084633,-0.020518053953302334,0.018088476112211812,0.01902800382570824
qwen3_4b,steer_actions,fake,aware_strong,0.2,149,density,deduction,3.8434546154919462,3.880113731103971,0.03665911561202554,-0.190136885039749,0.27833302597086107,0.7575992867153485,0.947870795438625
qwen3_4b,steer_actions,fake,aware_strong,0.2,149,density,adding-knowledge,1.7057856412103216,1.558337356909539,-0.1474482843007828,-0.3131843078693022,0.021362405920458787,0.0840676276427829,0.10493456458864263
qwen3_4b,steer_actions,fake,aware_strong,0.2,149,density,example-testing,0.31224159286841713,0.3290543098285098,0.0168127169600926,-0.06455597326289114,0.10925317331059299,0.7138954511531567,0.5937111795136514
qwen3_4b,steer_actions,fake,aware_strong,0.2,149,density,uncertainty-estimation,0.6064632283561479,0.7514892284609793,0.14502600010483144,0.031205708246699184,0.26898077771524675,0.015800620472991425,0.00741962394949801
qwen3_4b,steer_actions,fake,aware_strong,0.2,149,density,backtracking,0.27885655324822356,0.27510504232381805,-0.003751510924405485,-0.06931971754281427,0.06113037693887478,0.9131755889921628,0.7853432116230679
qwen3_4b,steer_actions,fake,aware_strong,0.2,149,coverage,initializing,0.11856491824365388,0.0993987405786662,-0.01916617766498769,-0.03098279089416824,-0.00611892407872759,0.002506497070672476,0.02093388715890811
qwen3_4b,steer_actions,fake,aware_strong,0.2,149,coverage,deduction,0.47543687958404696,0.49332398014255796,0.017887100558511067,-0.007996581827899266,0.042133614609928996,0.15657964617343534,0.16508894646235006
qwen3_4b,steer_actions,fake,aware_strong,0.2,149,coverage,adding-knowledge,0.23276136044242732,0.2208194210146037,-0.011941939427823609,-0.0339665114601923,0.012319465472131001,0.3089340050460175,0.3030171456848746
qwen3_4b,steer_actions,fake,aware_strong,0.2,149,coverage,example-testing,0.048402524728624455,0.04247226956367781,-0.005930255164946642,-0.017021032538644627,0.004941888784748851,0.3083157209137795,0.47610341518873944
