model,family,framing,arm,signed_alpha,flip_class,n,behaviour,metric,delta_density,ci_lo,ci_hi
qwen3_4b,steer_actions,fake,aware,0.05,gained,5,initializing,density,-0.22153200194480557,-0.40031646349791455,-0.008664176391848166
qwen3_4b,steer_actions,fake,aware,0.05,gained,5,initializing,density_nontest,-0.22153200194480557,-0.40031646349791455,-0.008664176391848166
qwen3_4b,steer_actions,fake,aware,0.05,gained,5,initializing,density_testlex,0.0,0.0,0.0
qwen3_4b,steer_actions,fake,aware,0.05,gained,5,deduction,density,1.388079215962297,-0.2575963278704346,3.0337547597950287
qwen3_4b,steer_actions,fake,aware,0.05,gained,5,deduction,density_nontest,1.6199701548234375,-0.11461734132966214,3.3536517454309793
qwen3_4b,steer_actions,fake,aware,0.05,gained,5,deduction,density_testlex,-0.23189093886114076,-0.49662479386068925,-0.023035929173113277
qwen3_4b,steer_actions,fake,aware,0.05,gained,5,adding-knowledge,density,-2.076487512984816,-2.533820199560413,-1.6193164206508217
qwen3_4b,steer_actions,fake,aware,0.05,gained,5,adding-knowledge,density_nontest,-2.076487512984816,-2.533820199560413,-1.6193164206508217
qwen3_4b,steer_actions,fake,aware,0.05,gained,5,adding-knowledge,density_testlex,0.0,0.0,0.0
qwen3_4b,steer_actions,fake,aware,0.05,gained,5,example-testing,density,0.0,0.0,0.0
qwen3_4b,steer_actions,fake,aware,0.05,gained,5,example-testing,density_nontest,0.0,0.0,0.0
qwen3_4b,steer_actions,fake,aware,0.05,gained,5,example-testing,density_testlex,0.0,0.0,0.0
qwen3_4b,steer_actions,fake,aware,0.05,gained,5,uncertainty-estimation,density,0.3759483638096771,0.046761725285079644,0.7051350023342746
qwen3_4b,steer_actions,fake,aware,0.05,gained,5,uncertainty-estimation,density_nontest,0.51051928858879,-0.08145122748518654,1.1274257265787138
qwen3_4b,steer_actions,fake,aware,0.05,gained,5,uncertainty-estimation,density_testlex,-0.13457092477911298,-0.5377697841726619,0.2686279346144359
qwen3_4b,steer_actions,fake,aware,0.05,gained,5,backtracking,density,-0.08376711008289954,-0.25130133024869866,0.0
qwen3_4b,steer_actions,fake,aware,0.05,gained,5,backtracking,density_nontest,-0.08376711008289954,-0.25130133024869866,0.0
qwen3_4b,steer_actions,fake,aware,0.05,gained,5,backtracking,density_testlex,0.0,0.0,0.0
qwen3_4b,steer_actions,fake,aware,0.05,lost,8,initializing,density,0.026914483253081392,-0.48485677516325454,0.38890863657051
qwen3_4b,steer_actions,fake,aware,0.05,lost,8,initializing,density_nontest,0.026914483253081392,-0.48485677516325454,0.38890863657051
qwen3_4b,steer_actions,fake,aware,0.05,lost,8,initializing,density_testlex,0.0,0.0,0.0
qwen3_4b,steer_actions,fake,aware,0.05,lost,8,deduction,density,0.8939474146067007,0.07631814706031687,1.6777381609707651
qwen3_4b,steer_actions,fake,aware,0.05,lost,8,deduction,density_nontest,0.7049434683949813,-0.11065471963279716,1.504814660130517
qwen3_4b,steer_actions,fake,aware,0.05,lost,8,deduction,density_testlex,0.18900394621171923,-0.028774462254974265,0.41457446787780217
qwen3_4b,steer_actions,fake,aware,0.05,lost,8,adding-knowledge,density,-0.04879886294330363,-0.6041316468017177,0.48024375430894384
qwen3_4b,steer_actions,fake,aware,0.05,lost,8,adding-knowledge,density_nontest,-0.04879886294330363,-0.6041316468017177,0.48024375430894384
qwen3_4b,steer_actions,fake,aware,0.05,lost,8,adding-knowledge,density_testlex,0.0,0.0,0.0
qwen3_4b,steer_actions,fake,aware,0.05,lost,8,example-testing,density,-0.09361736622436324,-0.34194528875379937,0.06109319008070967
qwen3_4b,steer_actions,fake,aware,0.05,lost,8,example-testing,density_nontest,-0.09361736622436324,-0.34194528875379937,0.06109319008070967
qwen3_4b,steer_actions,fake,aware,0.05,lost,8,example-testing,density_testlex,0.0,0.0,0.0
qwen3_4b,steer_actions,fake,aware,0.05,lost,8,uncertainty-estimation,density,-0.528136491066021,-0.9976241697691911,-0.004905464018631526
qwen3_4b,steer_actions,fake,aware,0.05,lost,8,uncertainty-estimation,density_nontest,-0.39078523562473605,-0.8135374741308914,0.07591739411255759
qwen3_4b,steer_actions,fake,aware,0.05,lost,8,uncertainty-estimation,density_testlex,-0.13735125544128501,-0.2615466458067336,-0.04111842105263158
qwen3_4b,steer_actions,fake,aware,0.05,lost,8,backtracking,density,0.05818447167990804,-0.1795008916064334,0.30459008954794603
qwen3_4b,steer_actions,fake,aware,0.05,lost,8,backtracking,density_nontest,0.05818447167990804,-0.1795008916064334,0.30459008954794603
qwen3_4b,steer_actions,fake,aware,0.05,lost,8,backtracking,density_testlex,0.0,0.0,0.0
qwen3_4b,steer_actions,fake,aware,0.05,comply_both,112,initializing,density,-0.061978370712542585,-0.17431650935915882,0.048322765243244026
qwen3_4b,steer_actions,fake,aware,0.05,comply_both,112,initializing,density_nontest,-0.06278311795160448,-0.17518183798966974,0.048301015453555876
qwen3_4b,steer_actions,fake,aware,0.05,comply_both,112,initializing,density_testlex,0.0008047472390618906,-2.352113724384903e-05,0.0024377628544295206
qwen3_4b,steer_actions,fake,aware,0.05,comply_both,112,deduction,density,0.05813995620388072,-0.22603271875668676,0.3284498755967084
qwen3_4b,steer_actions,fake,aware,0.05,comply_both,112,deduction,density_nontest,0.056878130632227186,-0.22496449085956013,0.3238277109287807
qwen3_4b,steer_actions,fake,aware,0.05,comply_both,112,deduction,density_testlex,0.0012618255716535243,-0.04635816870329307,0.04587908057818295
qwen3_4b,steer_actions,fake,aware,0.05,comply_both,112,adding-knowledge,density,-0.02889848228353048,-0.24966812456728577,0.18881992071453832
qwen3_4b,steer_actions,fake,aware,0.05,comply_both,112,adding-knowledge,density_nontest,-0.033971970295654796,-0.2559025209954819,0.18328500647156742
qwen3_4b,steer_actions,fake,aware,0.05,comply_both,112,adding-knowledge,density_testlex,0.005073488012124312,-0.016562338287949875,0.028929938656444144
qwen3_4b,steer_actions,fake,aware,0.05,comply_both,112,example-testing,density,-0.03686279171974422,-0.14116550233147376,0.05891721000151961
qwen3_4b,steer_actions,fake,aware,0.05,comply_both,112,example-testing,density_nontest,-0.03757203996997609,-0.14055796174267482,0.06032155881707964
qwen3_4b,steer_actions,fake,aware,0.05,comply_both,112,example-testing,density_testlex,0.0007092482502318567,-0.005503512880562062,0.007631257631257632
qwen3_4b,steer_actions,fake,aware,0.05,comply_both,112,uncertainty-estimation,density,0.043820245368928014,-0.10554198177051886,0.20561368597811258
qwen3_4b,steer_actions,fake,aware,0.05,comply_both,112,uncertainty-estimation,density_nontest,0.017470850014891317,-0.12227347105007197,0.17201900639592693
qwen3_4b,steer_actions,fake,aware,0.05,comply_both,112,uncertainty-estimation,density_testlex,0.026349395354036687,-0.006836011047617208,0.06101475934437852
qwen3_4b,steer_actions,fake,aware,0.05,comply_both,112,backtracking,density,0.0647663843599957,-0.008700397671748938,0.14141784737051719
qwen3_4b,steer_actions,fake,aware,0.05,comply_both,112,backtracking,density_nontest,0.06575142365310799,-0.00754210532590721,0.1429289828350744
qwen3_4b,steer_actions,fake,aware,0.05,comply_both,112,backtracking,density_testlex,-0.0009850392931122904,-0.004594462141631952,0.0016393442622950813
qwen3_4b,steer_actions,fake,aware,0.05,refuse_both,12,initializing,density,0.04351561176984511,-0.1419384081977824,0.18841872380286645
qwen3_4b,steer_actions,fake,aware,0.05,refuse_both,12,initializing,density_nontest,0.01684730817405748,-0.1569338667400223,0.1541915872186067
qwen3_4b,steer_actions,fake,aware,0.05,refuse_both,12,initializing,density_testlex,0.026668303595787635,0.0,0.08000491078736291
qwen3_4b,steer_actions,fake,aware,0.05,refuse_both,12,deduction,density,0.23195425928165592,-0.3919784231509849,0.8001781169702943
qwen3_4b,steer_actions,fake,aware,0.05,refuse_both,12,deduction,density_nontest,0.09995374490830634,-0.4237187084133874,0.5911300255837441
qwen3_4b,steer_actions,fake,aware,0.05,refuse_both,12,deduction,density_testlex,0.13200051437334956,-0.05842091163017075,0.31272902909050176
qwen3_4b,steer_actions,fake,aware,0.05,refuse_both,12,adding-knowledge,density,0.08690337622861372,-0.36459668844225035,0.5675251075979573
qwen3_4b,steer_actions,fake,aware,0.05,refuse_both,12,adding-knowledge,density_nontest,0.1372675654680656,-0.29552034609110317,0.5966368059229058
qwen3_4b,steer_actions,fake,aware,0.05,refuse_both,12,adding-knowledge,density_testlex,-0.05036418923945188,-0.16129032258064516,0.010197754862289521
qwen3_4b,steer_actions,fake,aware,0.05,refuse_both,12,example-testing,density,0.0,0.0,0.0
qwen3_4b,steer_actions,fake,aware,0.05,refuse_both,12,example-testing,density_nontest,0.0,0.0,0.0
qwen3_4b,steer_actions,fake,aware,0.05,refuse_both,12,example-testing,density_testlex,0.0,0.0,0.0
