arm,kind,n,verbal,vlo,vhi,expected_from_length,exec_,elo,ehi,n_known,lost,gained
baseline,ctrl,149,0.18791946308724833,0.13333675416681373,0.25818959792654794,0.1670926144923289,0.723404255319149,0.6443910603610559,0.7905672762433178,141,,
baseline_seed1,ctrl,149,0.1476510067114094,0.09957267613587965,0.21344094719533513,0.16848472232450606,0.7446808510638298,0.6668841119783411,0.8094988281121633,141,3.0,6.0
random_bt,ctrl,149,0.18120805369127516,0.12763054722889808,0.25081035007077246,0.1658858082050513,0.7777777777777778,0.7031576240332872,0.8379625775539147,144,7.0,15.0
random_unc,ctrl,149,0.20134228187919462,0.14483362720789802,0.2728636344728459,0.16703256002901284,0.7986111111111112,0.7257430692350378,0.855961147471204,144,3.0,14.0
shuffled_bt,shuf,149,0.2953020134228188,0.2279434141727399,0.37295021461968014,0.2064124218713113,0.6788990825688074,0.5864474147600424,0.7591702368335201,109,4.0,4.0
shuffled_unc,shuf,149,0.2751677852348993,0.20979156624310008,0.35184569816824646,0.19399276301000756,0.7380952380952381,0.6550979653395279,0.8070040515737109,126,8.0,9.0
bt_neg,real,149,0.013422818791946308,0.0036887725239569333,0.0476157549334349,0.14262681531108773,0.7054794520547946,0.6270370073396376,0.7733862164611813,146,14.0,11.0
unc_neg,real,149,0.006711409395973154,0.0011857126133513265,0.03703336005034936,0.15730647565389755,0.7832167832167832,0.7087505597246031,0.8428647718753632,143,8.0,16.0
unc_pos,real,149,0.3691275167785235,0.2958417204018555,0.4489919111211671,0.18606617881272428,0.6838235294117647,0.6015418951047091,0.7560058623461796,136,10.0,7.0
bt_pos,degen,149,0.436241610738255,0.3592069424833641,0.5164812369765701,0.2148654559371808,0.6595744680851063,0.5592082220071468,0.7474102642827856,94,5.0,3.0
