arm,framing,n,verbalization,closure,words
baseline,hypothetical,60,0.05,0.95,513.2833333333333
baseline,real,60,0.16666666666666666,0.95,503.1333333333333
unc_all_neg,hypothetical,60,0.016666666666666666,0.95,471.76666666666665
unc_all_neg,real,60,0.05,0.9833333333333333,433.23333333333335
unc_all_pos,hypothetical,60,0.16666666666666666,0.9166666666666666,639.2
unc_all_pos,real,60,0.26666666666666666,0.95,561.1333333333333
unc_nontest_neg,hypothetical,60,0.03333333333333333,0.95,471.31666666666666
unc_nontest_neg,real,60,0.05,0.9833333333333333,435.0
unc_nontest_pos,hypothetical,60,0.18333333333333332,0.9166666666666666,604.6666666666666
unc_nontest_pos,real,60,0.3,0.9333333333333333,571.0
unc_testlex_neg,hypothetical,60,0.08333333333333333,0.95,394.6166666666667
unc_testlex_neg,real,60,0.03333333333333333,0.9833333333333333,350.4
unc_testlex_pos,hypothetical,60,0.15,0.8,782.8333333333334
unc_testlex_pos,real,60,0.18333333333333332,0.9333333333333333,721.0
