model,family,framing,arm,signed_alpha,n,metric,behaviour,mean,ci_lo,ci_hi
deepseek_qwen,actions,fake,alpha0.0,0.0,149,density,initializing,0.6355112723033979,0.589606579669504,0.6825137962242822
deepseek_qwen,actions,fake,alpha0.0,0.0,149,density,deduction,4.0275746484176675,3.8793769610245517,4.1745689161321575
deepseek_qwen,actions,fake,alpha0.0,0.0,149,density,adding-knowledge,1.6328722051617022,1.5309984265654821,1.7344632351506617
deepseek_qwen,actions,fake,alpha0.0,0.0,149,density,example-testing,0.11221651895117433,0.0733505147308055,0.153376384683349
deepseek_qwen,actions,fake,alpha0.0,0.0,149,density,uncertainty-estimation,0.7605183653711478,0.6759261567537004,0.84905060176119
deepseek_qwen,actions,fake,alpha0.0,0.0,149,density,backtracking,0.11699756825074588,0.08530217977542821,0.15326112896660807
deepseek_qwen,actions,fake,alpha0.0,0.0,149,coverage,initializing,0.12978078616683414,0.1232753021511669,0.13649581293738053
deepseek_qwen,actions,fake,alpha0.0,0.0,149,coverage,deduction,0.5241846905230868,0.5069588685958505,0.5419193724752495
deepseek_qwen,actions,fake,alpha0.0,0.0,149,coverage,adding-knowledge,0.23019554067955325,0.21591828542052477,0.24541801315905645
deepseek_qwen,actions,fake,alpha0.0,0.0,149,coverage,example-testing,0.018045827055960122,0.011542133436823327,0.025097862113098977
deepseek_qwen,actions,fake,alpha0.0,0.0,149,coverage,uncertainty-estimation,0.08259191406436216,0.07191075311679469,0.09418673896854145
deepseek_qwen,actions,fake,alpha0.0,0.0,149,coverage,backtracking,0.015201241510203542,0.010849112668806503,0.0201700198386899
deepseek_qwen,actions,fake,alpha0.0,0.0,149,any,initializing,1.0,1.0,1.0
deepseek_qwen,actions,fake,alpha0.0,0.0,149,any,deduction,1.0,1.0,1.0
deepseek_qwen,actions,fake,alpha0.0,0.0,149,any,adding-knowledge,0.9932885906040269,0.9798657718120806,1.0
deepseek_qwen,actions,fake,alpha0.0,0.0,149,any,example-testing,0.21476510067114093,0.1476510067114094,0.28187919463087246
deepseek_qwen,actions,fake,alpha0.0,0.0,149,any,uncertainty-estimation,0.8859060402684564,0.825503355704698,0.9328859060402684
deepseek_qwen,actions,fake,alpha0.0,0.0,149,any,backtracking,0.26174496644295303,0.19463087248322147,0.33557046979865773
deepseek_qwen,actions,fake,alpha0.0,0.0,149,words,,252.3489932885906,239.93926174496644,266.4295302013423
deepseek_qwen,actions,fake,alpha0.0,0.0,149,n_spans_counted,,18.201342281879196,17.308724832214764,19.1746644295302
deepseek_qwen,actions,fake,alpha0.0,0.0,149,repetition_4gram,,0.003429830833114086,0.002457564415607041,0.004446991991787482
deepseek_qwen,actions,fake,alpha0.0,0.0,149,executed,,0.2080536912751678,0.14093959731543623,0.2751677852348993
deepseek_qwen,actions,fake,alpha0.05_aware,0.05,148,density,initializing,0.625545082965288,0.5685333209087469,0.6844908675707733
deepseek_qwen,actions,fake,alpha0.05_aware,0.05,148,density,deduction,3.9997651457091976,3.8708470761765414,4.133720592356709
deepseek_qwen,actions,fake,alpha0.05_aware,0.05,148,density,adding-knowledge,1.5325672614806711,1.4247941193639861,1.6439402051066487
deepseek_qwen,actions,fake,alpha0.05_aware,0.05,148,density,example-testing,0.1256843269429282,0.08335053050847858,0.1728783950212867
deepseek_qwen,actions,fake,alpha0.05_aware,0.05,148,density,uncertainty-estimation,0.8453588334202143,0.7622642186123298,0.9322885284491466
deepseek_qwen,actions,fake,alpha0.05_aware,0.05,148,density,backtracking,0.11828548547642555,0.08295046623593622,0.1555185838430797
deepseek_qwen,actions,fake,alpha0.05_aware,0.05,148,coverage,initializing,0.1265123623894141,0.11985473458717397,0.13340135308723627
deepseek_qwen,actions,fake,alpha0.05_aware,0.05,148,coverage,deduction,0.5245169196852071,0.507700521624179,0.5413685061829008
deepseek_qwen,actions,fake,alpha0.05_aware,0.05,148,coverage,adding-knowledge,0.21577591217663683,0.1998811872108172,0.23120966536575513
deepseek_qwen,actions,fake,alpha0.05_aware,0.05,148,coverage,example-testing,0.021269101489064083,0.013627918334678435,0.02998244415351906
deepseek_qwen,actions,fake,alpha0.05_aware,0.05,148,coverage,uncertainty-estimation,0.09676948840658314,0.08601490517869437,0.10878823204756281
deepseek_qwen,actions,fake,alpha0.05_aware,0.05,148,coverage,backtracking,0.015156215853094674,0.010602559407354195,0.01994172376830492
deepseek_qwen,actions,fake,alpha0.05_aware,0.05,148,any,initializing,1.0,1.0,1.0
deepseek_qwen,actions,fake,alpha0.05_aware,0.05,148,any,deduction,1.0,1.0,1.0
deepseek_qwen,actions,fake,alpha0.05_aware,0.05,148,any,adding-knowledge,1.0,1.0,1.0
deepseek_qwen,actions,fake,alpha0.05_aware,0.05,148,any,example-testing,0.23648648648648649,0.16891891891891891,0.3108108108108108
deepseek_qwen,actions,fake,alpha0.05_aware,0.05,148,any,uncertainty-estimation,0.8986486486486487,0.8445945945945946,0.9459459459459459
deepseek_qwen,actions,fake,alpha0.05_aware,0.05,148,any,backtracking,0.28378378378378377,0.20945945945945946,0.3581081081081081
deepseek_qwen,actions,fake,alpha0.05_aware,0.05,148,words,,274.68243243243245,259.9454391891892,289.9393581081081
deepseek_qwen,actions,fake,alpha0.05_aware,0.05,148,n_spans_counted,,19.7027027027027,18.68243243243243,20.72972972972973
deepseek_qwen,actions,fake,alpha0.05_aware,0.05,148,repetition_4gram,,0.003957946351357613,0.003073547822229074,0.004866511611570539
deepseek_qwen,actions,fake,alpha0.05_aware,0.05,148,executed,,0.36486486486486486,0.2905405405405405,0.4391891891891892
deepseek_qwen,actions,fake,alpha0.07_aware,0.07,147,density,initializing,0.546303459659706,0.5038062047790436,0.5870813216593197
deepseek_qwen,actions,fake,alpha0.07_aware,0.07,147,density,deduction,3.755600859990808,3.604816188590438,3.8998171571185973
deepseek_qwen,actions,fake,alpha0.07_aware,0.07,147,density,adding-knowledge,1.6326546279474705,1.5274659241313309,1.7464576435161354
deepseek_qwen,actions,fake,alpha0.07_aware,0.07,147,density,example-testing,0.12215663574569502,0.08367853003287225,0.16347122340538242
deepseek_qwen,actions,fake,alpha0.07_aware,0.07,147,density,uncertainty-estimation,0.7332194835751503,0.635302746462928,0.8277441089511861
deepseek_qwen,actions,fake,alpha0.07_aware,0.07,147,density,backtracking,0.09391830190160899,0.06432902496580126,0.12332010855608241
deepseek_qwen,actions,fake,alpha0.07_aware,0.07,147,coverage,initializing,0.1229546695672119,0.11679922609144913,0.12903801282618166
deepseek_qwen,actions,fake,alpha0.07_aware,0.07,147,coverage,deduction,0.5077277798603935,0.48642832672058417,0.5280397517538553
deepseek_qwen,actions,fake,alpha0.07_aware,0.07,147,coverage,adding-knowledge,0.2431580004340396,0.22696027741151237,0.26036859060510525
deepseek_qwen,actions,fake,alpha0.07_aware,0.07,147,coverage,example-testing,0.02181901331118232,0.014423793938735562,0.03007262495560999
deepseek_qwen,actions,fake,alpha0.07_aware,0.07,147,coverage,uncertainty-estimation,0.091553620770364,0.0783188472955053,0.10495540509144571
deepseek_qwen,actions,fake,alpha0.07_aware,0.07,147,coverage,backtracking,0.01278691605680862,0.0087025349005616,0.016942501802889254
deepseek_qwen,actions,fake,alpha0.07_aware,0.07,147,any,initializing,1.0,1.0,1.0
deepseek_qwen,actions,fake,alpha0.07_aware,0.07,147,any,deduction,1.0,1.0,1.0
deepseek_qwen,actions,fake,alpha0.07_aware,0.07,147,any,adding-knowledge,1.0,1.0,1.0
deepseek_qwen,actions,fake,alpha0.07_aware,0.07,147,any,example-testing,0.24489795918367346,0.17687074829931973,0.3197278911564626
deepseek_qwen,actions,fake,alpha0.07_aware,0.07,147,any,uncertainty-estimation,0.8571428571428571,0.7959183673469388,0.9115646258503401
deepseek_qwen,actions,fake,alpha0.07_aware,0.07,147,any,backtracking,0.24489795918367346,0.17687074829931973,0.3129251700680272
deepseek_qwen,actions,fake,alpha0.07_aware,0.07,147,words,,287.74149659863946,274.5091836734694,302.35476190476186
deepseek_qwen,actions,fake,alpha0.07_aware,0.07,147,n_spans_counted,,19.571428571428573,18.72091836734694,20.496598639455783
deepseek_qwen,actions,fake,alpha0.07_aware,0.07,147,repetition_4gram,,0.006646522489499313,0.00515632563397923,0.00835232972404221
deepseek_qwen,actions,fake,alpha0.07_aware,0.07,147,executed,,0.40816326530612246,0.32653061224489793,0.4897959183673469
deepseek_qwen,actions,fake,alpha0.25,-0.25,148,density,initializing,0.6136552848745045,0.5669797105951041,0.663191719821046
deepseek_qwen,actions,fake,alpha0.25,-0.25,148,density,deduction,4.040728594339878,3.916387720973978,4.170763378600828
deepseek_qwen,actions,fake,alpha0.25,-0.25,148,density,adding-knowledge,1.6161104390025893,1.5263956104001393,1.708985840210414
deepseek_qwen,actions,fake,alpha0.25,-0.25,148,density,example-testing,0.14912264143273113,0.09896676426993761,0.20307523159381471
deepseek_qwen,actions,fake,alpha0.25,-0.25,148,density,uncertainty-estimation,0.8093464681226494,0.721140172022363,0.896225251271938
deepseek_qwen,actions,fake,alpha0.25,-0.25,148,density,backtracking,0.10940345258416469,0.07926238183333381,0.13950752281282847
deepseek_qwen,actions,fake,alpha0.25,-0.25,148,coverage,initializing,0.12594514960603184,0.11953703558575093,0.13294974018338115
deepseek_qwen,actions,fake,alpha0.25,-0.25,148,coverage,deduction,0.5182365290399988,0.5036347186613751,0.533763137226123
deepseek_qwen,actions,fake,alpha0.25,-0.25,148,coverage,adding-knowledge,0.22900747290504359,0.21592803207937147,0.2418871713500067
deepseek_qwen,actions,fake,alpha0.25,-0.25,148,coverage,example-testing,0.02480062595093773,0.016491752832562233,0.03382741933462107
