model,family,framing,arm,signed_alpha,flip_class,n,behaviour,metric,delta_density,ci_lo,ci_hi
deepseek_qwen,actions,fake,alpha0.05_aware,0.05,gained,26,initializing,density,-0.15593390733424056,-0.25413209922258506,-0.05954315201520792
deepseek_qwen,actions,fake,alpha0.05_aware,0.05,gained,26,initializing,density_nontest,-0.15593390733424056,-0.25413209922258506,-0.05954315201520792
deepseek_qwen,actions,fake,alpha0.05_aware,0.05,gained,26,initializing,density_testlex,0.0,0.0,0.0
deepseek_qwen,actions,fake,alpha0.05_aware,0.05,gained,26,deduction,density,0.06244932330236696,-0.32688624904642755,0.45107763964247666
deepseek_qwen,actions,fake,alpha0.05_aware,0.05,gained,26,deduction,density_nontest,-0.16525128508114345,-0.5788000737069957,0.2321160803564439
deepseek_qwen,actions,fake,alpha0.05_aware,0.05,gained,26,deduction,density_testlex,0.2277006083835104,0.05692571840304984,0.3991085360927527
deepseek_qwen,actions,fake,alpha0.05_aware,0.05,gained,26,adding-knowledge,density,-0.31983784336115745,-0.6258178323121937,-0.003787414582754854
deepseek_qwen,actions,fake,alpha0.05_aware,0.05,gained,26,adding-knowledge,density_nontest,-0.33180684232262797,-0.6377398568367784,-0.016280686105640093
deepseek_qwen,actions,fake,alpha0.05_aware,0.05,gained,26,adding-knowledge,density_testlex,0.011968998961470578,-0.03624602343456697,0.06998174778723662
deepseek_qwen,actions,fake,alpha0.05_aware,0.05,gained,26,example-testing,density,0.15359959477262095,0.02779171039589536,0.3167028551596699
deepseek_qwen,actions,fake,alpha0.05_aware,0.05,gained,26,example-testing,density_nontest,0.13919452418777506,0.01484180324909226,0.31087805523604733
deepseek_qwen,actions,fake,alpha0.05_aware,0.05,gained,26,example-testing,density_testlex,0.014405070584845867,0.0,0.0432152117545376
deepseek_qwen,actions,fake,alpha0.05_aware,0.05,gained,26,uncertainty-estimation,density,-0.2095116857116001,-0.4720308221625755,0.03899241125638836
deepseek_qwen,actions,fake,alpha0.05_aware,0.05,gained,26,uncertainty-estimation,density_nontest,-0.3207033548156714,-0.5783828543244063,-0.07437986145264998
deepseek_qwen,actions,fake,alpha0.05_aware,0.05,gained,26,uncertainty-estimation,density_testlex,0.11119166910407136,0.027892589544155695,0.19704232747938544
deepseek_qwen,actions,fake,alpha0.05_aware,0.05,gained,26,backtracking,density,0.018759185564212272,-0.08326884973754692,0.11214616245865186
deepseek_qwen,actions,fake,alpha0.05_aware,0.05,gained,26,backtracking,density_nontest,-0.0039025504782943363,-0.09924912797278534,0.087064308967175
deepseek_qwen,actions,fake,alpha0.05_aware,0.05,gained,26,backtracking,density_testlex,0.02266173604250661,0.0,0.05680452834218888
deepseek_qwen,actions,fake,alpha0.05_aware,0.05,comply_both,28,initializing,density,0.10631989264060933,-0.008040138178485246,0.22474627736419187
deepseek_qwen,actions,fake,alpha0.05_aware,0.05,comply_both,28,initializing,density_nontest,0.09769325357918765,-0.015923254432755628,0.21667206119598004
deepseek_qwen,actions,fake,alpha0.05_aware,0.05,comply_both,28,initializing,density_testlex,0.00862663906142167,0.0,0.025879917184265012
deepseek_qwen,actions,fake,alpha0.05_aware,0.05,comply_both,28,deduction,density,-0.2560448059400876,-0.6134106952110695,0.09430704404134937
deepseek_qwen,actions,fake,alpha0.05_aware,0.05,comply_both,28,deduction,density_nontest,-0.3590641541365659,-0.7235436170904161,0.0028357353435663184
deepseek_qwen,actions,fake,alpha0.05_aware,0.05,comply_both,28,deduction,density_testlex,0.10301934819647832,0.0348916579671792,0.18796665371669385
deepseek_qwen,actions,fake,alpha0.05_aware,0.05,comply_both,28,adding-knowledge,density,-0.020967430013565398,-0.3737259727689627,0.30121867458776785
deepseek_qwen,actions,fake,alpha0.05_aware,0.05,comply_both,28,adding-knowledge,density_nontest,-0.022618622646415645,-0.3737259727689627,0.30314717222925214
deepseek_qwen,actions,fake,alpha0.05_aware,0.05,comply_both,28,adding-knowledge,density_testlex,0.0016511926328502413,-0.020926339285714284,0.025879917184265012
deepseek_qwen,actions,fake,alpha0.05_aware,0.05,comply_both,28,example-testing,density,0.05933343687259484,-0.06315984911011543,0.21994046141440118
deepseek_qwen,actions,fake,alpha0.05_aware,0.05,comply_both,28,example-testing,density_nontest,0.05933343687259484,-0.06315984911011543,0.21994046141440118
deepseek_qwen,actions,fake,alpha0.05_aware,0.05,comply_both,28,example-testing,density_testlex,0.0,0.0,0.0
deepseek_qwen,actions,fake,alpha0.05_aware,0.05,comply_both,28,uncertainty-estimation,density,0.054924839914388304,-0.12395474316615282,0.21256902694398513
deepseek_qwen,actions,fake,alpha0.05_aware,0.05,comply_both,28,uncertainty-estimation,density_nontest,0.054924839914388304,-0.12395474316615282,0.21256902694398513
deepseek_qwen,actions,fake,alpha0.05_aware,0.05,comply_both,28,uncertainty-estimation,density_testlex,0.0,0.0,0.0
deepseek_qwen,actions,fake,alpha0.05_aware,0.05,comply_both,28,backtracking,density,-0.04665147442039613,-0.11740997112789257,0.021421229803014155
deepseek_qwen,actions,fake,alpha0.05_aware,0.05,comply_both,28,backtracking,density_nontest,-0.04665147442039613,-0.11740997112789257,0.021421229803014155
deepseek_qwen,actions,fake,alpha0.05_aware,0.05,comply_both,28,backtracking,density_testlex,0.0,0.0,0.0
deepseek_qwen,actions,fake,alpha0.05_aware,0.05,refuse_both,91,initializing,density,-0.0037335244086301837,-0.0810620664858751,0.0879256424719327
deepseek_qwen,actions,fake,alpha0.05_aware,0.05,refuse_both,91,initializing,density_nontest,-0.0037335244086301837,-0.0810620664858751,0.0879256424719327
deepseek_qwen,actions,fake,alpha0.05_aware,0.05,refuse_both,91,initializing,density_testlex,0.0,0.0,0.0
deepseek_qwen,actions,fake,alpha0.05_aware,0.05,refuse_both,91,deduction,density,0.012678812992429225,-0.222871729638085,0.25277652078741236
deepseek_qwen,actions,fake,alpha0.05_aware,0.05,refuse_both,91,deduction,density_nontest,-0.13236583076597397,-0.3839903817730034,0.10454423334064449
deepseek_qwen,actions,fake,alpha0.05_aware,0.05,refuse_both,91,deduction,density_testlex,0.14504464375840315,0.07482022897785895,0.22368712343395517
deepseek_qwen,actions,fake,alpha0.05_aware,0.05,refuse_both,91,adding-knowledge,density,-0.05760274116640552,-0.21263889433754316,0.08538803411834671
deepseek_qwen,actions,fake,alpha0.05_aware,0.05,refuse_both,91,adding-knowledge,density_nontest,-0.09074598458252217,-0.24454291349999857,0.056628427768134385
deepseek_qwen,actions,fake,alpha0.05_aware,0.05,refuse_both,91,adding-knowledge,density_testlex,0.033143243416116665,-0.0024408856764868685,0.07243701628940817
deepseek_qwen,actions,fake,alpha0.05_aware,0.05,refuse_both,91,example-testing,density,-0.049552093480356135,-0.10672158988615561,0.003777887181603522
deepseek_qwen,actions,fake,alpha0.05_aware,0.05,refuse_both,91,example-testing,density_nontest,-0.05205650151471808,-0.10936797285603898,-0.0006321751383563975
deepseek_qwen,actions,fake,alpha0.05_aware,0.05,refuse_both,91,example-testing,density_testlex,0.0025044080343619513,-0.01205246366536689,0.016861019165166632
