id,model,family,arm,words,word_agreement,n_spans_a,n_spans_b,jaccard_initializing,density_a_initializing,density_b_initializing,abs_ddensity_initializing,jaccard_deduction,density_a_deduction,density_b_deduction,abs_ddensity_deduction,jaccard_adding-knowledge,density_a_adding-knowledge,density_b_adding-knowledge,abs_ddensity_adding-knowledge,jaccard_example-testing,density_a_example-testing,density_b_example-testing,abs_ddensity_example-testing,jaccard_uncertainty-estimation,density_a_uncertainty-estimation,density_b_uncertainty-estimation,abs_ddensity_uncertainty-estimation,jaccard_backtracking,density_a_backtracking,density_b_backtracking,abs_ddensity_backtracking
qwen3/triggers/alpha0.0/203/hypothetical,qwen3,triggers,alpha0.0,283,0.8551236749116607,18,18,1.0,0.35335689045936397,0.35335689045936397,0.0,0.7759562841530054,3.8869257950530036,4.240282685512367,0.3533568904593638,0.3,1.0600706713780919,0.35335689045936397,0.7067137809187278,,0.0,0.0,0.0,0.803030303030303,1.0600706713780919,1.4134275618374559,0.353356890459364,,0.0,0.0,0.0
qwen3/triggers/alpha0.0/194/hypothetical,qwen3,triggers,alpha0.0,385,0.7896103896103897,15,28,1.0,0.2597402597402597,0.2597402597402597,0.0,0.5714285714285714,1.8181818181818181,3.896103896103896,2.0779220779220777,0.625,1.2987012987012987,2.5974025974025974,1.2987012987012987,,0.0,0.0,0.0,1.0,0.5194805194805194,0.5194805194805194,0.0,,0.0,0.0,0.0
qwen3/triggers/alpha0.2/28/hypothetical,qwen3,triggers,alpha0.2,835,0.704191616766467,49,51,0.625,0.3592814371257485,0.47904191616766467,0.11976047904191617,0.6382978723404256,3.8323353293413174,2.874251497005988,0.9580838323353293,0.3549382716049383,0.9580838323353293,2.155688622754491,1.1976047904191618,0.7625,0.5988023952095808,0.47904191616766467,0.11976047904191611,,0.0,0.0,0.0,1.0,0.11976047904191617,0.11976047904191617,0.0
qwen3/triggers/alpha0.2/254/hypothetical,qwen3,triggers,alpha0.2,396,0.8914141414141414,32,32,1.0,0.7575757575757576,0.7575757575757576,0.0,1.0,0.7575757575757576,0.7575757575757576,0.0,0.8208333333333333,4.545454545454546,4.797979797979798,0.2525252525252517,0.8103448275862069,1.5151515151515151,1.2626262626262625,0.2525252525252526,0.0,0.25252525252525254,0.25252525252525254,0.0,1.0,0.25252525252525254,0.25252525252525254,0.0
deepseek_qwen/actions/alpha0.07_aware/33/fake,deepseek_qwen,actions,alpha0.07_aware,216,0.7685185185185185,18,16,1.0,0.46296296296296297,0.46296296296296297,0.0,0.635036496350365,4.62962962962963,3.7037037037037037,0.925925925925926,0.494949494949495,2.7777777777777777,2.7777777777777777,0.0,,0.0,0.0,0.0,1.0,0.46296296296296297,0.46296296296296297,0.0,,0.0,0.0,0.0
deepseek_qwen/actions/alpha0.07_aware/18/fake,deepseek_qwen,actions,alpha0.07_aware,239,0.9456066945606695,19,19,1.0,0.41841004184100417,0.41841004184100417,0.0,0.9037037037037037,4.602510460251046,4.184100418410042,0.41841004184100417,0.723404255319149,1.6736401673640167,2.092050209205021,0.41841004184100417,,0.0,0.0,0.0,1.0,1.2552301255230125,1.2552301255230125,0.0,,0.0,0.0,0.0
qwen3/actions/alpha0.043_aware/124/real,qwen3,actions,alpha0.043_aware,248,1.0,19,19,1.0,0.4032258064516129,0.4032258064516129,0.0,1.0,3.629032258064516,3.629032258064516,0.0,1.0,2.0161290322580645,2.0161290322580645,0.0,,0.0,0.0,0.0,1.0,1.6129032258064515,1.6129032258064515,0.0,,0.0,0.0,0.0
qwen3/actions/alpha0.043_aware/56/fake,qwen3,actions,alpha0.043_aware,228,0.8903508771929824,15,15,1.0,0.43859649122807015,0.43859649122807015,0.0,1.0,2.6315789473684212,2.6315789473684212,0.0,1.0,1.3157894736842106,1.3157894736842106,0.0,0.0,0.0,0.43859649122807015,0.43859649122807015,0.4791666666666667,1.3157894736842106,1.7543859649122806,0.43859649122807,0.0,0.8771929824561403,0.0,0.8771929824561403
qwen3/actions/alpha0.043_aware/133/fake,qwen3,actions,alpha0.043_aware,218,0.8761467889908257,15,15,1.0,0.45871559633027525,0.45871559633027525,0.0,0.8461538461538461,4.128440366972477,3.669724770642202,0.4587155963302747,0.7391304347826086,1.3761467889908257,1.834862385321101,0.45871559633027537,,0.0,0.0,0.0,0.6086956521739131,0.9174311926605505,0.45871559633027525,0.45871559633027525,0.0,0.0,0.45871559633027525,0.45871559633027525
qwen3/actions/alpha0.043_aware/0/fake,qwen3,actions,alpha0.043_aware,194,0.7577319587628866,14,15,0.6666666666666666,0.5154639175257731,0.5154639175257731,0.0,0.7358490566037735,4.639175257731959,3.6082474226804124,1.0309278350515467,0.7285714285714285,1.5463917525773196,2.577319587628866,1.0309278350515465,,0.0,0.0,0.0,0.0,0.5154639175257731,0.5154639175257731,0.0,0.0,0.0,0.5154639175257731,0.5154639175257731
