model,framing,arm,signed_alpha,n_pairs,behaviour,mean_delta,ci_lo,ci_hi,sd_delta,mean_abs_delta
deepseek_qwen,fake,alpha0.0,0.0,149,initializing,-0.034826984435136626,-0.09556327578752256,0.02806543736802278,0.3899808035027047,0.2974120558433893
deepseek_qwen,fake,alpha0.0,0.0,149,deduction,0.009036734442678945,-0.19784629935720915,0.21632512563502285,1.2878174984228403,1.009685638298987
deepseek_qwen,fake,alpha0.0,0.0,149,adding-knowledge,0.10527072452478549,-0.05060041728072899,0.26489780935866564,0.9891443765692048,0.7572849896230622
deepseek_qwen,fake,alpha0.0,0.0,149,example-testing,-0.026821152339441396,-0.07899904103725329,0.03096704898539599,0.35571948287154614,0.1566673670739192
deepseek_qwen,fake,alpha0.0,0.0,149,uncertainty-estimation,-0.15061800582756518,-0.27069512427682113,-0.04048030832606469,0.7026392642280405,0.5394560790004103
deepseek_qwen,fake,alpha0.0,0.0,149,backtracking,-0.022555935076028908,-0.06857754014342764,0.023879461141214454,0.3010862453930941,0.15903878809534566
deepseek_qwen,fake,alpha0.0,0.0,149,words,-1.2348993288590604,-18.71258389261745,18.423322147651003,121.53435668521246,81.28859060402685
deepseek_qwen,fake,alpha0.07_aware,0.07,147,initializing,0.09717161876281766,0.024890525476399528,0.17372540016552224,0.45354541385807384,0.32760599869198037
deepseek_qwen,fake,alpha0.07_aware,0.07,147,deduction,-0.02694035379007627,-0.22574693438688617,0.17121184697371408,1.2370069290593697,0.9889199700173078
deepseek_qwen,fake,alpha0.07_aware,0.07,147,adding-knowledge,0.03839589814814868,-0.12283593589084549,0.1939111442232557,1.000079232790116,0.7948710357924663
deepseek_qwen,fake,alpha0.07_aware,0.07,147,example-testing,0.011512857979260573,-0.0427238901207047,0.06455796060060706,0.33183484864792256,0.1728008683170032
deepseek_qwen,fake,alpha0.07_aware,0.07,147,uncertainty-estimation,-0.09334100551977176,-0.2100735931729305,0.03233197088196042,0.7479927227151614,0.5626403462714458
deepseek_qwen,fake,alpha0.07_aware,0.07,147,backtracking,0.0013680900594375395,-0.04435031185644646,0.04633698214403777,0.2876016376227605,0.1724955405220588
deepseek_qwen,fake,alpha0.07_aware,0.07,147,words,-12.380952380952381,-29.458843537414964,5.2940476190476105,109.49168563751448,82.0952380952381
deepseek_qwen,fake,alpha0.35,-0.35,88,initializing,0.07884738166150565,-0.019989459848503567,0.17432225776597046,0.49127572508263573,0.34332665880641816
deepseek_qwen,fake,alpha0.35,-0.35,88,deduction,0.15753575819151955,-0.07571301243221261,0.3815206672548772,1.1222349329838341,0.8829831379237586
deepseek_qwen,fake,alpha0.35,-0.35,88,adding-knowledge,0.1511696493181903,-0.04446738974420523,0.345895141798465,0.9655986054691255,0.7791044469545286
deepseek_qwen,fake,alpha0.35,-0.35,88,example-testing,0.014137403961571116,-0.04361832326162906,0.07180902152754078,0.283176864815066,0.13262381656143649
deepseek_qwen,fake,alpha0.35,-0.35,88,uncertainty-estimation,-0.06887895295412777,-0.1998241406946221,0.08255369278357265,0.6523953657622613,0.5095219688925144
deepseek_qwen,fake,alpha0.35,-0.35,88,backtracking,0.01843336255774758,-0.04829759402711184,0.08617683415806965,0.32663460727255306,0.20041472002048646
deepseek_qwen,fake,alpha0.35,-0.35,88,words,10.454545454545455,-11.230113636363635,33.04886363636362,105.86707226798902,77.04545454545455
deepseek_qwen,real,alpha0.0,0.0,149,initializing,0.06339116568089961,0.006001363671775602,0.12323059338349163,0.36173978026515075,0.26789595628422874
deepseek_qwen,real,alpha0.0,0.0,149,deduction,-0.24503029109471675,-0.40970957113284134,-0.0708802015587561,1.0749803545065477,0.8666787853684012
deepseek_qwen,real,alpha0.0,0.0,149,adding-knowledge,0.020997678864041455,-0.11555828636194239,0.1517015525608473,0.8360522931360225,0.6732037418330356
deepseek_qwen,real,alpha0.0,0.0,149,example-testing,0.00472474163009992,-0.03113719339631085,0.04128269313477313,0.22462744506846935,0.11150667027125204
deepseek_qwen,real,alpha0.0,0.0,149,uncertainty-estimation,-0.06843744123707703,-0.1632237919359092,0.02566552279127613,0.5928729584066947,0.4607172499661395
deepseek_qwen,real,alpha0.0,0.0,149,backtracking,0.005820681541775304,-0.04053389613879005,0.050909949996064637,0.28266179265016184,0.16062524389907862
deepseek_qwen,real,alpha0.0,0.0,149,words,7.476510067114094,-7.6981543624161075,24.663422818791915,101.7177190902709,75.51677852348993
deepseek_qwen,real,alpha0.07_aware,0.07,147,initializing,0.012693184002403641,-0.048873219413618864,0.07496429638749666,0.38466313110863437,0.292381481604329
deepseek_qwen,real,alpha0.07_aware,0.07,147,deduction,-0.08725849533040168,-0.2826034028269976,0.10171916473357796,1.1965207532906186,0.9651347737589119
deepseek_qwen,real,alpha0.07_aware,0.07,147,adding-knowledge,0.13655883792592718,-0.005914537525101051,0.2873247134453313,0.9326693186740307,0.748732028463743
deepseek_qwen,real,alpha0.07_aware,0.07,147,example-testing,0.018222250835480645,-0.029721895112545818,0.06959337037295667,0.3044245698642173,0.16930967562468024
deepseek_qwen,real,alpha0.07_aware,0.07,147,uncertainty-estimation,-0.2207838650734733,-0.3274992649996327,-0.10999929092689724,0.6799914019158275,0.5479563520789179
deepseek_qwen,real,alpha0.07_aware,0.07,147,backtracking,-0.08250840043039985,-0.13537754804936655,-0.028922145757288877,0.33130948202370564,0.21063041997181522
deepseek_qwen,real,alpha0.07_aware,0.07,147,words,-8.870748299319727,-22.85765306122449,5.347278911564624,88.34228824239254,65.8639455782313
deepseek_qwen,real,alpha0.35,-0.35,88,initializing,0.016642370254584534,-0.09688318828466104,0.12683879390328878,0.5349266731424028,0.35142931349266837
deepseek_qwen,real,alpha0.35,-0.35,88,deduction,-0.08636808536022934,-0.37175249588234116,0.20574271940087568,1.4143922284632244,1.096731719287123
deepseek_qwen,real,alpha0.35,-0.35,88,adding-knowledge,0.05580508145160213,-0.13544951856178117,0.25924336674230253,0.9543774642869814,0.7834917146824576
deepseek_qwen,real,alpha0.35,-0.35,88,example-testing,0.03762698747640432,-0.013367190255258251,0.09045820389061164,0.2562415822000511,0.11796220498587714
deepseek_qwen,real,alpha0.35,-0.35,88,uncertainty-estimation,-0.1837513474773018,-0.31038423281210176,-0.05797410191139271,0.5949997452143105,0.49203566907605006
deepseek_qwen,real,alpha0.35,-0.35,88,backtracking,-0.009055348670093322,-0.05709482554917758,0.03884682361119708,0.23759780369660438,0.1291579658007248
deepseek_qwen,real,alpha0.35,-0.35,88,words,6.6477272727272725,-13.45568181818182,27.329545454545453,94.62351774119301,67.01136363636364
