scope,n,proxy,judge,pearson_r,spearman_rho
all,10560,lex_wait_per100w,density_backtracking,0.3377210996831348,0.3524232182627699
all,10560,lex_backtrack_lex_per100w,density_backtracking,0.29296706492777397,0.29239381122333374
all,10560,lex_hmm_per100w,density_uncertainty-estimation,0.2128319835010063,0.2611181958443496
all,10560,lex_uncertainty_lex_per100w,density_uncertainty-estimation,0.3266014569824321,0.29586635398123107
deepseek_qwen,3684,lex_wait_per100w,density_backtracking,0.36543700560611314,0.3878619871886946
deepseek_qwen,3684,lex_backtrack_lex_per100w,density_backtracking,0.3339706812881246,0.3328556808793349
deepseek_qwen,3684,lex_hmm_per100w,density_uncertainty-estimation,0.26233658715794045,0.3002957844772429
deepseek_qwen,3684,lex_uncertainty_lex_per100w,density_uncertainty-estimation,0.26471701994531305,0.2185322192050566
qwen3,3906,lex_wait_per100w,density_backtracking,0.38290759470810515,0.3782965696182025
qwen3,3906,lex_backtrack_lex_per100w,density_backtracking,0.3019922354786616,0.28025495420023755
qwen3,3906,lex_hmm_per100w,density_uncertainty-estimation,0.18586830937454407,0.20615685666583528
qwen3,3906,lex_uncertainty_lex_per100w,density_uncertainty-estimation,0.3419788712375955,0.32500050043472783
qwq,2970,lex_wait_per100w,density_backtracking,0.2133449386780987,0.22275307955494306
qwq,2970,lex_backtrack_lex_per100w,density_backtracking,0.19156595932874926,0.18630094671295422
qwq,2970,lex_hmm_per100w,density_uncertainty-estimation,0.14290982257657872,0.19419396621832138
qwq,2970,lex_uncertainty_lex_per100w,density_uncertainty-estimation,0.3321933631889941,0.30245228665236923
