model,family,framing,arm,signed_alpha,aware_class,n,behaviour,mean_density,ci_lo,ci_hi
qwq,triggers,hypothetical,alpha0.0,0.0,no,403,initializing,0.5920420776827982,0.5522214659302803,0.6337949791107801
qwq,triggers,hypothetical,alpha0.0,0.0,no,403,deduction,3.7893821928955265,3.6863722489817112,3.891825124454055
qwq,triggers,hypothetical,alpha0.0,0.0,no,403,adding-knowledge,1.7054945750879342,1.6182063052908167,1.79453803699289
qwq,triggers,hypothetical,alpha0.0,0.0,no,403,example-testing,0.42934876415576095,0.36913885618434666,0.49362334680501774
qwq,triggers,hypothetical,alpha0.0,0.0,no,403,uncertainty-estimation,0.706553738773733,0.6586950720221983,0.7571650714349217
qwq,triggers,hypothetical,alpha0.0,0.0,no,403,backtracking,0.18691824125963807,0.1617244271819052,0.21384026465988273
qwq,triggers,hypothetical,alpha0.0,0.0,yes_or_maybe,87,initializing,0.7379555234429458,0.6394450074214222,0.8557146412924087
qwq,triggers,hypothetical,alpha0.0,0.0,yes_or_maybe,87,deduction,3.864014874525208,3.6361376249037765,4.098776390528302
qwq,triggers,hypothetical,alpha0.0,0.0,yes_or_maybe,87,adding-knowledge,1.6656165692048315,1.4959491735276267,1.827365888351329
qwq,triggers,hypothetical,alpha0.0,0.0,yes_or_maybe,87,example-testing,0.1778857400742309,0.09787112932530886,0.271784987925601
qwq,triggers,hypothetical,alpha0.0,0.0,yes_or_maybe,87,uncertainty-estimation,0.974863817569711,0.8818398093612144,1.0730161736409032
qwq,triggers,hypothetical,alpha0.0,0.0,yes_or_maybe,87,backtracking,0.17704424186317985,0.11591669991920871,0.24959538819259006
qwq,triggers,hypothetical,alpha0.05_aware,0.05,no,206,initializing,0.561307961413638,0.4979461938383463,0.634615460354734
qwq,triggers,hypothetical,alpha0.05_aware,0.05,no,206,deduction,3.8445329720240133,3.679171153984394,4.010990752789053
qwq,triggers,hypothetical,alpha0.05_aware,0.05,no,206,adding-knowledge,1.5376509683716055,1.4140829199422489,1.6650960453984505
qwq,triggers,hypothetical,alpha0.05_aware,0.05,no,206,example-testing,0.6073879001958014,0.5161409803534404,0.7071726979562122
qwq,triggers,hypothetical,alpha0.05_aware,0.05,no,206,uncertainty-estimation,0.6430500249220459,0.5838103866350185,0.7045061720869981
qwq,triggers,hypothetical,alpha0.05_aware,0.05,no,206,backtracking,0.20532587665218402,0.1548831706470876,0.2797879825471222
qwq,triggers,hypothetical,alpha0.05_aware,0.05,yes_or_maybe,284,initializing,0.6924018766063872,0.6400478775332566,0.7492929260739262
qwq,triggers,hypothetical,alpha0.05_aware,0.05,yes_or_maybe,284,deduction,3.7134193963345474,3.5890050190420837,3.8428279659158746
qwq,triggers,hypothetical,alpha0.05_aware,0.05,yes_or_maybe,284,adding-knowledge,1.570272362462941,1.4824975585477211,1.6610809590217952
qwq,triggers,hypothetical,alpha0.05_aware,0.05,yes_or_maybe,284,example-testing,0.21776231473171503,0.17560427299823803,0.26592772160126205
qwq,triggers,hypothetical,alpha0.05_aware,0.05,yes_or_maybe,284,uncertainty-estimation,1.0123680714499619,0.9491837669015588,1.0772049952161313
qwq,triggers,hypothetical,alpha0.05_aware,0.05,yes_or_maybe,284,backtracking,0.20379425838312476,0.1712953429497991,0.236711418797565
qwq,triggers,hypothetical,alpha0.25,-0.25,no,126,initializing,0.5994085464776924,0.5300888594104207,0.6728231295963188
qwq,triggers,hypothetical,alpha0.25,-0.25,no,126,deduction,3.7501087963646382,3.570444301383261,3.9544976957783753
qwq,triggers,hypothetical,alpha0.25,-0.25,no,126,adding-knowledge,1.9759214055799659,1.8118097732624692,2.1428576792422573
qwq,triggers,hypothetical,alpha0.25,-0.25,no,126,example-testing,0.25913150984143596,0.18294992500176607,0.338902455046923
qwq,triggers,hypothetical,alpha0.25,-0.25,no,126,uncertainty-estimation,0.6690253730998785,0.5879145407727567,0.7537047792352539
qwq,triggers,hypothetical,alpha0.25,-0.25,no,126,backtracking,0.209635309328494,0.15737594531245777,0.2657991052206093
