model,family,framing,arm,signed_alpha,aware_class_both,n_pairs,behaviour,delta_density,ci_lo,ci_hi
qwq,triggers,hypothetical,alpha0.05_aware,0.05,no,185,initializing,0.02502471693793668,-0.04827822360490087,0.10889429248087495
qwq,triggers,hypothetical,alpha0.05_aware,0.05,no,185,deduction,0.08408246570039793,-0.11569598162435768,0.2706738654378923
qwq,triggers,hypothetical,alpha0.05_aware,0.05,no,185,adding-knowledge,-0.08718743440375044,-0.2309690951811123,0.061045215523962054
qwq,triggers,hypothetical,alpha0.05_aware,0.05,no,185,example-testing,0.05403186509004478,-0.052048698547697135,0.1677824243486698
qwq,triggers,hypothetical,alpha0.05_aware,0.05,no,185,uncertainty-estimation,0.040244240198964824,-0.03429673490558147,0.11173588116704747
qwq,triggers,hypothetical,alpha0.05_aware,0.05,no,185,backtracking,0.007977078985221856,-0.056447143646359554,0.09140287414615508
qwq,triggers,hypothetical,alpha0.05_aware,0.05,yes,67,initializing,-0.03849110376157241,-0.19055833652880616,0.10630106158319338
qwq,triggers,hypothetical,alpha0.05_aware,0.05,yes,67,deduction,-0.13365820176459803,-0.49747836167881393,0.24197344022170797
qwq,triggers,hypothetical,alpha0.05_aware,0.05,yes,67,adding-knowledge,-0.14070691358669682,-0.400346142212793,0.1097915114298345
qwq,triggers,hypothetical,alpha0.05_aware,0.05,yes,67,example-testing,0.07537006539745587,-0.03503437154236585,0.18489016787054918
qwq,triggers,hypothetical,alpha0.05_aware,0.05,yes,67,uncertainty-estimation,0.11893920318545093,-0.07727314427129509,0.31629180747540075
qwq,triggers,hypothetical,alpha0.05_aware,0.05,yes,67,backtracking,0.05824779381314523,-0.057043343075067636,0.16541125454819747
qwq,triggers,hypothetical,alpha0.25,-0.25,no,95,initializing,-0.029463982735918912,-0.1171780136763166,0.05923813124832909
qwq,triggers,hypothetical,alpha0.25,-0.25,no,95,deduction,-0.3164630543718461,-0.5883267171666353,-0.04983679470416593
qwq,triggers,hypothetical,alpha0.25,-0.25,no,95,adding-knowledge,0.3003271936988385,0.0847730364398658,0.5316197934815002
qwq,triggers,hypothetical,alpha0.25,-0.25,no,95,example-testing,-0.09459304431623293,-0.19637880104379254,0.004985064852800782
qwq,triggers,hypothetical,alpha0.25,-0.25,no,95,uncertainty-estimation,-0.08995973111742672,-0.2097832206358837,0.03169924611798149
qwq,triggers,hypothetical,alpha0.25,-0.25,no,95,backtracking,0.03851149391251663,-0.04520903548311087,0.1213916481093056
